pig_group_id,site,barn,week_number,week_start,deaths,cumulative_deaths,head_remaining,weekly_mortality_pct,source
PG-1016,Nursery South,NS2,7,2025-04-05,11,79,2320,0.47,distributed from pig_flow totals
PG-1016,Nursery South,NS2,8,2025-04-12,13,92,2307,0.56,distributed from pig_flow totals
PG-1000,Nursery North,N1,1,2025-03-01,14,14,2234,0.62,distributed from pig_flow totals
PG-1000,Nursery North,N1,2,2025-03-08,9,23,2225,0.4,distributed from pig_flow totals
PG-1000,Nursery North,N1,3,2025-03-15,17,40,2208,0.76,distributed from pig_flow totals
PG-1000,Nursery North,N1,4,2025-03-22,10,50,2198,0.45,distributed from pig_flow totals
PG-1000,Nursery North,N1,5,2025-03-29,11,61,2187,0.5,distributed from pig_flow totals
PG-1000,Nursery North,N1,6,2025-04-05,8,69,2179,0.37,distributed from pig_flow totals
PG-1000,Nursery North,N1,7,2025-04-12,11,80,2168,0.5,distributed from pig_flow totals
PG-1000,Nursery North,N1,8,2025-04-19,18,98,2150,0.83,distributed from pig_flow totals
PG-1004,Nursery South,NS1,1,2025-03-21,13,13,2093,0.62,distributed from pig_flow totals
PG-1004,Nursery South,NS1,2,2025-03-28,11,24,2082,0.53,distributed from pig_flow totals
PG-1004,Nursery South,NS1,3,2025-04-04,16,40,2066,0.77,distributed from pig_flow totals
PG-1004,Nursery South,NS1,4,2025-04-11,6,46,2060,0.29,distributed from pig_flow totals
PG-1004,Nursery South,NS1,5,2025-04-18,13,59,2047,0.63,distributed from pig_flow totals
PG-1004,Nursery South,NS1,6,2025-04-25,13,72,2034,0.64,distributed from pig_flow totals
PG-1004,Nursery South,NS1,7,2025-05-02,9,81,2025,0.44,distributed from pig_flow totals
PG-1004,Nursery South,NS1,8,2025-05-09,21,102,2004,1.04,distributed from pig_flow totals
PG-1005,Nursery North,N2,1,2025-03-23,9,9,2098,0.43,distributed from pig_flow totals
PG-1005,Nursery North,N2,2,2025-03-30,13,22,2085,0.62,distributed from pig_flow totals
PG-1005,Nursery North,N2,3,2025-04-06,14,36,2071,0.67,distributed from pig_flow totals
PG-1005,Nursery North,N2,4,2025-04-13,13,49,2058,0.63,distributed from pig_flow totals
PG-1005,Nursery North,N2,5,2025-04-20,15,64,2043,0.73,distributed from pig_flow totals
PG-1005,Nursery North,N2,6,2025-04-27,15,79,2028,0.73,distributed from pig_flow totals
PG-1005,Nursery North,N2,7,2025-05-04,8,87,2020,0.39,distributed from pig_flow totals
PG-1005,Nursery North,N2,8,2025-05-11,20,107,2000,0.99,distributed from pig_flow totals
PG-1009,Nursery North,N1,1,2025-04-06,5,5,2493,0.2,distributed from pig_flow totals
PG-1009,Nursery North,N1,2,2025-04-13,9,14,2484,0.36,distributed from pig_flow totals
PG-1009,Nursery North,N1,3,2025-04-20,5,19,2479,0.2,distributed from pig_flow totals
PG-1009,Nursery North,N1,4,2025-04-27,5,24,2474,0.2,distributed from pig_flow totals
PG-1009,Nursery North,N1,5,2025-05-04,4,28,2470,0.16,distributed from pig_flow totals
PG-1009,Nursery North,N1,6,2025-05-11,6,34,2464,0.24,distributed from pig_flow totals
PG-1009,Nursery North,N1,7,2025-05-18,5,39,2459,0.2,distributed from pig_flow totals
PG-1009,Nursery North,N1,8,2025-05-25,3,42,2456,0.12,distributed from pig_flow totals
PG-1007,Nursery North,N1,1,2025-04-13,12,12,2403,0.5,distributed from pig_flow totals
PG-1007,Nursery North,N1,2,2025-04-20,19,31,2384,0.79,distributed from pig_flow totals
PG-1007,Nursery North,N1,3,2025-04-27,8,39,2376,0.34,distributed from pig_flow totals
PG-1007,Nursery North,N1,4,2025-05-04,6,45,2370,0.25,distributed from pig_flow totals
PG-1007,Nursery North,N1,5,2025-05-11,16,61,2354,0.68,distributed from pig_flow totals
PG-1007,Nursery North,N1,6,2025-05-18,15,76,2339,0.64,distributed from pig_flow totals
PG-1007,Nursery North,N1,7,2025-05-25,9,85,2330,0.38,distributed from pig_flow totals
PG-1007,Nursery North,N1,8,2025-06-01,14,99,2316,0.6,distributed from pig_flow totals
PG-1003,Nursery North,N1,1,2025-05-15,5,5,2103,0.24,distributed from pig_flow totals
PG-1003,Nursery North,N1,2,2025-05-22,3,8,2100,0.14,distributed from pig_flow totals
PG-1003,Nursery North,N1,3,2025-05-29,7,15,2093,0.33,distributed from pig_flow totals
PG-1003,Nursery North,N1,4,2025-06-05,10,25,2083,0.48,distributed from pig_flow totals
PG-1003,Nursery North,N1,5,2025-06-12,8,33,2075,0.38,distributed from pig_flow totals
PG-1003,Nursery North,N1,6,2025-06-19,7,40,2068,0.34,distributed from pig_flow totals
PG-1003,Nursery North,N1,7,2025-06-26,7,47,2061,0.34,distributed from pig_flow totals
PG-1003,Nursery North,N1,8,2025-07-03,9,56,2052,0.44,distributed from pig_flow totals
PG-1006,Nursery South,NS2,1,2025-05-23,2,2,2494,0.08,distributed from pig_flow totals
PG-1006,Nursery South,NS2,2,2025-05-30,10,12,2484,0.4,distributed from pig_flow totals
PG-1006,Nursery South,NS2,3,2025-06-06,13,25,2471,0.52,distributed from pig_flow totals
PG-1006,Nursery South,NS2,4,2025-06-13,18,43,2453,0.73,distributed from pig_flow totals
PG-1006,Nursery South,NS2,5,2025-06-20,13,56,2440,0.53,distributed from pig_flow totals
PG-1006,Nursery South,NS2,6,2025-06-27,4,60,2436,0.16,distributed from pig_flow totals
PG-1006,Nursery South,NS2,7,2025-07-04,14,74,2422,0.57,distributed from pig_flow totals
PG-1006,Nursery South,NS2,8,2025-07-11,8,82,2414,0.33,distributed from pig_flow totals
PG-1001,Nursery South,NS1,1,2025-06-13,7,7,2563,0.27,distributed from pig_flow totals
PG-1001,Nursery South,NS1,2,2025-06-20,7,14,2556,0.27,distributed from pig_flow totals
PG-1001,Nursery South,NS1,3,2025-06-27,5,19,2551,0.2,distributed from pig_flow totals
PG-1001,Nursery South,NS1,4,2025-07-04,5,24,2546,0.2,distributed from pig_flow totals
PG-1001,Nursery South,NS1,5,2025-07-11,4,28,2542,0.16,distributed from pig_flow totals
PG-1001,Nursery South,NS1,6,2025-07-18,3,31,2539,0.12,distributed from pig_flow totals
PG-1001,Nursery South,NS1,7,2025-07-25,6,37,2533,0.24,distributed from pig_flow totals
PG-1001,Nursery South,NS1,8,2025-08-01,9,46,2524,0.36,distributed from pig_flow totals
PG-1012,Nursery North,N2,1,2025-07-24,4,4,2423,0.16,distributed from pig_flow totals
PG-1012,Nursery North,N2,2,2025-07-31,6,10,2417,0.25,distributed from pig_flow totals
PG-1012,Nursery North,N2,3,2025-08-07,7,17,2410,0.29,distributed from pig_flow totals
PG-1012,Nursery North,N2,4,2025-08-14,5,22,2405,0.21,distributed from pig_flow totals
PG-1012,Nursery North,N2,5,2025-08-21,3,25,2402,0.12,distributed from pig_flow totals
PG-1012,Nursery North,N2,6,2025-08-28,10,35,2392,0.42,distributed from pig_flow totals
PG-1012,Nursery North,N2,7,2025-09-04,7,42,2385,0.29,distributed from pig_flow totals
PG-1012,Nursery North,N2,8,2025-09-11,3,45,2382,0.13,distributed from pig_flow totals
PG-1008,Nursery South,NS1,1,2025-08-03,13,13,2458,0.53,distributed from pig_flow totals
PG-1008,Nursery South,NS1,2,2025-08-10,18,31,2440,0.73,distributed from pig_flow totals
PG-1008,Nursery South,NS1,3,2025-08-17,9,40,2431,0.37,distributed from pig_flow totals
PG-1008,Nursery South,NS1,4,2025-08-24,14,54,2417,0.58,distributed from pig_flow totals
PG-1008,Nursery South,NS1,5,2025-08-31,4,58,2413,0.17,distributed from pig_flow totals
PG-1008,Nursery South,NS1,6,2025-09-07,8,66,2405,0.33,distributed from pig_flow totals
PG-1008,Nursery South,NS1,7,2025-09-14,8,74,2397,0.33,distributed from pig_flow totals
PG-1008,Nursery South,NS1,8,2025-09-21,11,85,2386,0.46,distributed from pig_flow totals
PG-1010,Nursery North,N2,1,2025-08-04,8,8,2186,0.36,distributed from pig_flow totals
PG-1010,Nursery North,N2,2,2025-08-11,7,15,2179,0.32,distributed from pig_flow totals
PG-1010,Nursery North,N2,3,2025-08-18,12,27,2167,0.55,distributed from pig_flow totals
PG-1010,Nursery North,N2,4,2025-08-25,13,40,2154,0.6,distributed from pig_flow totals
PG-1010,Nursery North,N2,5,2025-09-01,11,51,2143,0.51,distributed from pig_flow totals
PG-1010,Nursery North,N2,6,2025-09-08,7,58,2136,0.33,distributed from pig_flow totals
PG-1010,Nursery North,N2,7,2025-09-15,14,72,2122,0.66,distributed from pig_flow totals
PG-1010,Nursery North,N2,8,2025-09-22,9,81,2113,0.42,distributed from pig_flow totals
PG-1013,Nursery North,N1,1,2025-08-24,12,12,2170,0.55,distributed from pig_flow totals
PG-1013,Nursery North,N1,2,2025-08-31,10,22,2160,0.46,distributed from pig_flow totals
PG-1013,Nursery North,N1,3,2025-09-07,13,35,2147,0.6,distributed from pig_flow totals
PG-1013,Nursery North,N1,4,2025-09-14,9,44,2138,0.42,distributed from pig_flow totals
PG-1013,Nursery North,N1,5,2025-09-21,11,55,2127,0.51,distributed from pig_flow totals
PG-1013,Nursery North,N1,6,2025-09-28,16,71,2111,0.75,distributed from pig_flow totals
PG-1013,Nursery North,N1,7,2025-10-05,9,80,2102,0.43,distributed from pig_flow totals
PG-1013,Nursery North,N1,8,2025-10-12,12,92,2090,0.57,distributed from pig_flow totals
