date,pig_group_id,site,barn,day_in_finisher,est_weight_lb,expected_feed_per_head_lb,actual_feed_per_head_lb,head_count,total_barn_feed_lb,source
2025-07-22,PG-1000,Finisher East,F1,89,207.7,5.42,5.26,2150,11303.0,ISU growth model
2025-07-23,PG-1000,Finisher East,F1,90,209.5,5.45,6.01,2150,12921.0,ISU growth model
2025-07-24,PG-1000,Finisher East,F1,91,211.2,5.49,5.36,2150,11531.0,ISU growth model
2025-07-25,PG-1000,Finisher East,F1,92,213.0,5.53,4.35,2150,9363.0,ISU growth model
2025-07-26,PG-1000,Finisher East,F1,93,214.7,5.57,5.72,2150,12300.0,ISU growth model
2025-07-27,PG-1000,Finisher East,F1,94,216.5,5.6,5.43,2150,11669.0,ISU growth model
2025-07-28,PG-1000,Finisher East,F1,95,218.2,5.64,5.51,2150,11850.0,ISU growth model
2025-07-29,PG-1000,Finisher East,F1,96,220.0,5.68,5.89,2150,12654.0,ISU growth model
2025-07-30,PG-1000,Finisher East,F1,97,221.7,5.72,5.64,2150,12129.0,ISU growth model
2025-07-31,PG-1000,Finisher East,F1,98,223.5,5.76,5.85,2150,12586.0,ISU growth model
2025-08-01,PG-1000,Finisher East,F1,99,225.2,5.79,4.86,2150,10439.0,ISU growth model
2025-08-02,PG-1000,Finisher East,F1,100,227.0,5.83,5.39,2150,11589.0,ISU growth model
2025-08-03,PG-1000,Finisher East,F1,101,228.7,5.87,6.53,2150,14033.0,ISU growth model
2025-08-04,PG-1000,Finisher East,F1,102,230.5,5.91,5.9,2150,12678.0,ISU growth model
2025-08-05,PG-1000,Finisher East,F1,103,232.2,5.94,5.15,2150,11067.0,ISU growth model
2025-08-06,PG-1000,Finisher East,F1,104,234.0,5.98,5.47,2150,11755.0,ISU growth model
2025-08-07,PG-1000,Finisher East,F1,105,235.7,6.02,5.54,2150,11912.0,ISU growth model
2025-08-08,PG-1000,Finisher East,F1,106,237.5,6.06,6.11,2150,13127.0,ISU growth model
2025-08-09,PG-1000,Finisher East,F1,107,239.2,6.09,5.88,2150,12648.0,ISU growth model
2025-08-10,PG-1000,Finisher East,F1,108,241.0,6.13,5.81,2150,12487.0,ISU growth model
2025-08-11,PG-1000,Finisher East,F1,109,242.7,6.17,6.17,2150,13267.0,ISU growth model
2025-08-12,PG-1000,Finisher East,F1,110,244.5,6.21,6.44,2150,13854.0,ISU growth model
2025-08-13,PG-1000,Finisher East,F1,111,246.2,6.24,6.11,2150,13147.0,ISU growth model
2025-08-11,PG-1001,Finisher East,F3,0,63.4,2.31,2.31,2524,5821.0,ISU growth model
2025-08-12,PG-1001,Finisher East,F3,1,65.1,2.35,2.13,2524,5375.0,ISU growth model
2025-08-13,PG-1001,Finisher East,F3,2,66.8,2.39,2.6,2524,6572.0,ISU growth model
2025-08-14,PG-1001,Finisher East,F3,3,68.5,2.42,2.57,2524,6481.0,ISU growth model
2025-08-15,PG-1001,Finisher East,F3,4,70.2,2.46,2.61,2524,6598.0,ISU growth model
2025-08-16,PG-1001,Finisher East,F3,5,71.9,2.49,2.31,2524,5839.0,ISU growth model
2025-08-17,PG-1001,Finisher East,F3,6,73.6,2.53,2.82,2524,7106.0,ISU growth model
2025-08-18,PG-1001,Finisher East,F3,7,75.3,2.57,2.28,2524,5754.0,ISU growth model
2025-08-19,PG-1001,Finisher East,F3,8,76.9,2.6,2.73,2524,6882.0,ISU growth model
2025-08-20,PG-1001,Finisher East,F3,9,78.6,2.64,3.1,2524,7833.0,ISU growth model
2025-08-21,PG-1001,Finisher East,F3,10,80.3,2.68,2.47,2524,6222.0,ISU growth model
2025-08-22,PG-1001,Finisher East,F3,11,82.0,2.71,2.59,2524,6539.0,ISU growth model
2025-08-23,PG-1001,Finisher East,F3,12,83.7,2.75,2.77,2524,6997.0,ISU growth model
2025-08-24,PG-1001,Finisher East,F3,13,85.4,2.79,2.67,2524,6750.0,ISU growth model
2025-08-25,PG-1001,Finisher East,F3,14,87.1,2.82,2.47,2524,6242.0,ISU growth model
2025-08-26,PG-1001,Finisher East,F3,15,88.8,2.86,2.88,2524,7257.0,ISU growth model
2025-08-27,PG-1001,Finisher East,F3,16,90.5,2.9,2.65,2524,6688.0,ISU growth model
2025-08-28,PG-1001,Finisher East,F3,17,92.2,2.93,3.04,2524,7682.0,ISU growth model
2025-08-29,PG-1001,Finisher East,F3,18,93.9,2.97,2.75,2524,6942.0,ISU growth model
2025-08-30,PG-1001,Finisher East,F3,19,95.6,3.01,3.38,2524,8526.0,ISU growth model
2025-08-31,PG-1001,Finisher East,F3,20,97.3,3.04,2.14,2524,5397.0,ISU growth model
2025-09-01,PG-1001,Finisher East,F3,21,99.0,3.08,2.25,2524,5677.0,ISU growth model
2025-09-02,PG-1001,Finisher East,F3,22,100.7,3.11,2.49,2524,6280.0,ISU growth model
2025-09-03,PG-1001,Finisher East,F3,23,102.4,3.15,2.13,2524,5378.0,ISU growth model
2025-09-04,PG-1001,Finisher East,F3,24,104.1,3.19,2.43,2524,6144.0,ISU growth model
2025-09-05,PG-1001,Finisher East,F3,25,105.8,3.22,2.67,2524,6742.0,ISU growth model
2025-09-06,PG-1001,Finisher East,F3,26,107.5,3.26,2.13,2524,5379.0,ISU growth model
2025-09-07,PG-1001,Finisher East,F3,27,109.2,3.3,2.51,2524,6334.0,ISU growth model
2025-09-08,PG-1001,Finisher East,F3,28,110.9,3.33,3.4,2524,8589.0,ISU growth model
2025-09-09,PG-1001,Finisher East,F3,29,112.6,3.37,3.58,2524,9038.0,ISU growth model
2025-09-10,PG-1001,Finisher East,F3,30,114.3,3.41,3.07,2524,7747.0,ISU growth model
2025-09-11,PG-1001,Finisher East,F3,31,116.0,3.44,3.08,2524,7772.0,ISU growth model
2025-09-12,PG-1001,Finisher East,F3,32,117.6,3.48,3.62,2524,9149.0,ISU growth model
2025-09-13,PG-1001,Finisher East,F3,33,119.3,3.52,3.6,2524,9085.0,ISU growth model
2025-09-14,PG-1001,Finisher East,F3,34,121.0,3.55,3.62,2524,9146.0,ISU growth model
2025-09-15,PG-1001,Finisher East,F3,35,122.7,3.59,3.69,2524,9309.0,ISU growth model
2025-09-16,PG-1001,Finisher East,F3,36,124.4,3.63,3.43,2524,8652.0,ISU growth model
2025-09-17,PG-1001,Finisher East,F3,37,126.1,3.66,3.73,2524,9414.0,ISU growth model
2025-09-18,PG-1001,Finisher East,F3,38,127.8,3.7,3.78,2524,9553.0,ISU growth model
2025-09-19,PG-1001,Finisher East,F3,39,129.5,3.73,3.52,2524,8887.0,ISU growth model
2025-09-20,PG-1001,Finisher East,F3,40,131.2,3.77,4.33,2524,10939.0,ISU growth model
2025-09-21,PG-1001,Finisher East,F3,41,132.9,3.81,3.95,2524,9975.0,ISU growth model
2025-09-22,PG-1001,Finisher East,F3,42,134.6,3.84,3.48,2524,8778.0,ISU growth model
2025-09-23,PG-1001,Finisher East,F3,43,136.3,3.88,4.08,2524,10309.0,ISU growth model
2025-09-24,PG-1001,Finisher East,F3,44,138.0,3.92,3.61,2524,9115.0,ISU growth model
2025-09-25,PG-1001,Finisher East,F3,45,139.7,3.95,4.2,2524,10607.0,ISU growth model
2025-09-26,PG-1001,Finisher East,F3,46,141.4,3.99,4.36,2524,11004.0,ISU growth model
2025-09-27,PG-1001,Finisher East,F3,47,143.1,4.03,3.76,2524,9495.0,ISU growth model
2025-09-28,PG-1001,Finisher East,F3,48,144.8,4.06,4.38,2524,11045.0,ISU growth model
2025-09-29,PG-1001,Finisher East,F3,49,146.5,4.1,4.23,2524,10688.0,ISU growth model
2025-09-30,PG-1001,Finisher East,F3,50,148.2,4.14,4.41,2524,11125.0,ISU growth model
2025-10-01,PG-1001,Finisher East,F3,51,149.9,4.17,4.81,2524,12128.0,ISU growth model
2025-10-02,PG-1001,Finisher East,F3,52,151.6,4.21,4.13,2524,10414.0,ISU growth model
2025-10-03,PG-1001,Finisher East,F3,53,153.3,4.25,3.99,2524,10068.0,ISU growth model
2025-10-04,PG-1001,Finisher East,F3,54,155.0,4.28,3.98,2524,10038.0,ISU growth model
2025-10-05,PG-1001,Finisher East,F3,55,156.7,4.32,4.04,2524,10187.0,ISU growth model
2025-10-06,PG-1001,Finisher East,F3,56,158.3,4.35,4.33,2524,10923.0,ISU growth model
2025-10-07,PG-1001,Finisher East,F3,57,160.0,4.39,4.51,2524,11385.0,ISU growth model
2025-10-08,PG-1001,Finisher East,F3,58,161.7,4.43,4.53,2524,11422.0,ISU growth model
2025-10-09,PG-1001,Finisher East,F3,59,163.4,4.46,4.76,2524,12012.0,ISU growth model
2025-10-10,PG-1001,Finisher East,F3,60,165.1,4.5,4.5,2524,11371.0,ISU growth model
2025-10-11,PG-1001,Finisher East,F3,61,166.8,4.54,5.06,2524,12782.0,ISU growth model
2025-10-12,PG-1001,Finisher East,F3,62,168.5,4.57,4.48,2524,11298.0,ISU growth model
2025-10-13,PG-1001,Finisher East,F3,63,170.2,4.61,5.61,2524,14167.0,ISU growth model
2025-10-14,PG-1001,Finisher East,F3,64,171.9,4.65,4.88,2524,12314.0,ISU growth model
2025-10-15,PG-1001,Finisher East,F3,65,173.6,4.68,4.36,2524,11008.0,ISU growth model
2025-10-16,PG-1001,Finisher East,F3,66,175.3,4.72,4.31,2524,10890.0,ISU growth model
2025-10-17,PG-1001,Finisher East,F3,67,177.0,4.76,4.94,2524,12466.0,ISU growth model
2025-10-18,PG-1001,Finisher East,F3,68,178.7,4.79,4.71,2524,11879.0,ISU growth model
2025-10-19,PG-1001,Finisher East,F3,69,180.4,4.83,5.1,2524,12883.0,ISU growth model
2025-10-20,PG-1001,Finisher East,F3,70,182.1,4.86,5.05,2524,12744.0,ISU growth model
2025-10-21,PG-1001,Finisher East,F3,71,183.8,4.9,4.87,2524,12299.0,ISU growth model
2025-10-22,PG-1001,Finisher East,F3,72,185.5,4.94,4.6,2524,11619.0,ISU growth model
2025-10-23,PG-1001,Finisher East,F3,73,187.2,4.97,4.37,2524,11034.0,ISU growth model
2025-10-24,PG-1001,Finisher East,F3,74,188.9,5.01,4.83,2524,12195.0,ISU growth model
2025-10-25,PG-1001,Finisher East,F3,75,190.6,5.05,5.39,2524,13612.0,ISU growth model
2025-10-26,PG-1001,Finisher East,F3,76,192.3,5.08,5.17,2524,13051.0,ISU growth model
2025-10-27,PG-1001,Finisher East,F3,77,194.0,5.12,4.61,2524,11635.0,ISU growth model
2025-10-28,PG-1001,Finisher East,F3,78,195.7,5.16,5.23,2524,13195.0,ISU growth model
2025-10-29,PG-1001,Finisher East,F3,79,197.4,5.19,5.35,2524,13511.0,ISU growth model
2025-10-30,PG-1001,Finisher East,F3,80,199.0,5.23,4.86,2524,12266.0,ISU growth model
2025-10-31,PG-1001,Finisher East,F3,81,200.7,5.27,5.33,2524,13455.0,ISU growth model
2025-11-01,PG-1001,Finisher East,F3,82,202.4,5.3,5.33,2524,13446.0,ISU growth model
2025-11-02,PG-1001,Finisher East,F3,83,204.1,5.34,4.85,2524,12243.0,ISU growth model
2025-11-03,PG-1001,Finisher East,F3,84,205.8,5.38,5.53,2524,13956.0,ISU growth model
2025-11-04,PG-1001,Finisher East,F3,85,207.5,5.41,5.65,2524,14272.0,ISU growth model
2025-11-05,PG-1001,Finisher East,F3,86,209.2,5.45,5.92,2524,14943.0,ISU growth model
2025-11-06,PG-1001,Finisher East,F3,87,210.9,5.48,5.95,2524,15010.0,ISU growth model
2025-11-07,PG-1001,Finisher East,F3,88,212.6,5.52,4.91,2524,12400.0,ISU growth model
2025-11-08,PG-1001,Finisher East,F3,89,214.3,5.56,5.14,2524,12975.0,ISU growth model
2025-11-09,PG-1001,Finisher East,F3,90,216.0,5.59,5.82,2524,14701.0,ISU growth model
2025-11-10,PG-1001,Finisher East,F3,91,217.7,5.63,5.86,2524,14796.0,ISU growth model
2025-11-11,PG-1001,Finisher East,F3,92,219.4,5.67,5.9,2524,14893.0,ISU growth model
2025-11-12,PG-1001,Finisher East,F3,93,221.1,5.7,7.46,2524,18833.0,ISU growth model
2025-11-13,PG-1001,Finisher East,F3,94,222.8,5.74,6.0,2524,15149.0,ISU growth model
2025-11-14,PG-1001,Finisher East,F3,95,224.5,5.78,6.3,2524,15904.0,ISU growth model
2025-11-15,PG-1001,Finisher East,F3,96,226.2,5.81,6.26,2524,15791.0,ISU growth model
2025-11-16,PG-1001,Finisher East,F3,97,227.9,5.85,6.15,2524,15533.0,ISU growth model
2025-11-17,PG-1001,Finisher East,F3,98,229.6,5.89,5.74,2524,14481.0,ISU growth model
2025-11-18,PG-1001,Finisher East,F3,99,231.3,5.92,6.28,2524,15855.0,ISU growth model
2025-11-19,PG-1001,Finisher East,F3,100,233.0,5.96,5.59,2524,14110.0,ISU growth model
2025-11-20,PG-1001,Finisher East,F3,101,234.7,6.0,5.88,2524,14845.0,ISU growth model
2025-11-21,PG-1001,Finisher East,F3,102,236.4,6.03,5.8,2524,14633.0,ISU growth model
2025-11-22,PG-1001,Finisher East,F3,103,238.0,6.07,6.11,2524,15416.0,ISU growth model
2025-11-23,PG-1001,Finisher East,F3,104,239.7,6.1,7.23,2524,18261.0,ISU growth model
2025-11-24,PG-1001,Finisher East,F3,105,241.4,6.14,5.22,2524,13184.0,ISU growth model
2025-11-25,PG-1001,Finisher East,F3,106,243.1,6.18,6.52,2524,16448.0,ISU growth model
2025-11-26,PG-1001,Finisher East,F3,107,244.8,6.21,5.41,2524,13660.0,ISU growth model
2025-11-27,PG-1001,Finisher East,F3,108,246.5,6.25,6.01,2524,15180.0,ISU growth model
2025-11-28,PG-1001,Finisher East,F3,109,248.2,6.29,6.83,2524,17250.0,ISU growth model
2025-11-29,PG-1001,Finisher East,F3,110,249.9,6.32,6.36,2524,16042.0,ISU growth model
2025-11-30,PG-1001,Finisher East,F3,111,251.6,6.36,5.81,2524,14668.0,ISU growth model
2025-03-23,PG-1002,Finisher West,FW1,0,54.2,2.12,2.21,2222,4907.0,ISU growth model
2025-03-24,PG-1002,Finisher West,FW1,1,56.1,2.16,1.94,2222,4305.0,ISU growth model
2025-03-25,PG-1002,Finisher West,FW1,2,58.0,2.2,2.62,2222,5816.0,ISU growth model
2025-03-26,PG-1002,Finisher West,FW1,3,59.9,2.24,2.57,2222,5708.0,ISU growth model
2025-03-27,PG-1002,Finisher West,FW1,4,61.8,2.28,2.53,2222,5618.0,ISU growth model
2025-03-28,PG-1002,Finisher West,FW1,5,63.7,2.32,2.47,2222,5498.0,ISU growth model
2025-03-29,PG-1002,Finisher West,FW1,6,65.7,2.36,2.36,2222,5254.0,ISU growth model
2025-03-30,PG-1002,Finisher West,FW1,7,67.6,2.4,2.49,2222,5528.0,ISU growth model
2025-03-31,PG-1002,Finisher West,FW1,8,69.5,2.44,2.65,2222,5885.0,ISU growth model
2025-04-01,PG-1002,Finisher West,FW1,9,71.4,2.48,2.36,2222,5243.0,ISU growth model
2025-04-02,PG-1002,Finisher West,FW1,10,73.3,2.53,2.44,2222,5413.0,ISU growth model
2025-04-03,PG-1002,Finisher West,FW1,11,75.2,2.57,2.22,2222,4942.0,ISU growth model
2025-04-04,PG-1002,Finisher West,FW1,12,77.1,2.61,2.45,2222,5437.0,ISU growth model
2025-04-05,PG-1002,Finisher West,FW1,13,79.0,2.65,3.0,2222,6668.0,ISU growth model
2025-04-06,PG-1002,Finisher West,FW1,14,80.9,2.69,2.62,2222,5817.0,ISU growth model
2025-04-07,PG-1002,Finisher West,FW1,15,82.8,2.73,2.66,2222,5914.0,ISU growth model
2025-04-08,PG-1002,Finisher West,FW1,16,84.7,2.77,2.84,2222,6316.0,ISU growth model
2025-04-09,PG-1002,Finisher West,FW1,17,86.6,2.81,2.45,2222,5444.0,ISU growth model
2025-04-10,PG-1002,Finisher West,FW1,18,88.6,2.85,3.07,2222,6821.0,ISU growth model
2025-04-11,PG-1002,Finisher West,FW1,19,90.5,2.89,3.19,2222,7084.0,ISU growth model
2025-04-12,PG-1002,Finisher West,FW1,20,92.4,2.94,3.02,2222,6721.0,ISU growth model
2025-04-13,PG-1002,Finisher West,FW1,21,94.3,2.98,3.37,2222,7489.0,ISU growth model
2025-04-14,PG-1002,Finisher West,FW1,22,96.2,3.02,2.7,2222,5994.0,ISU growth model
2025-04-15,PG-1002,Finisher West,FW1,23,98.1,3.06,3.51,2222,7800.0,ISU growth model
2025-04-16,PG-1002,Finisher West,FW1,24,100.0,3.1,2.92,2222,6486.0,ISU growth model
2025-04-17,PG-1002,Finisher West,FW1,25,101.9,3.14,2.82,2222,6265.0,ISU growth model
2025-04-18,PG-1002,Finisher West,FW1,26,103.8,3.18,3.12,2222,6936.0,ISU growth model
2025-04-19,PG-1002,Finisher West,FW1,27,105.7,3.22,3.71,2222,8234.0,ISU growth model
2025-04-20,PG-1002,Finisher West,FW1,28,107.6,3.26,3.26,2222,7242.0,ISU growth model
2025-04-21,PG-1002,Finisher West,FW1,29,109.5,3.31,3.06,2222,6796.0,ISU growth model
2025-04-22,PG-1002,Finisher West,FW1,30,111.4,3.35,3.0,2222,6665.0,ISU growth model
2025-04-23,PG-1002,Finisher West,FW1,31,113.4,3.39,3.36,2222,7463.0,ISU growth model
2025-04-24,PG-1002,Finisher West,FW1,32,115.3,3.43,2.88,2222,6402.0,ISU growth model
2025-04-25,PG-1002,Finisher West,FW1,33,117.2,3.47,3.11,2222,6907.0,ISU growth model
2025-04-26,PG-1002,Finisher West,FW1,34,119.1,3.51,3.94,2222,8763.0,ISU growth model
2025-04-27,PG-1002,Finisher West,FW1,35,121.0,3.55,3.93,2222,8726.0,ISU growth model
2025-04-28,PG-1002,Finisher West,FW1,36,122.9,3.59,3.56,2222,7900.0,ISU growth model
2025-04-29,PG-1002,Finisher West,FW1,37,124.8,3.63,3.5,2222,7772.0,ISU growth model
2025-04-30,PG-1002,Finisher West,FW1,38,126.7,3.67,3.69,2222,8203.0,ISU growth model
2025-05-01,PG-1002,Finisher West,FW1,39,128.6,3.72,4.41,2222,9806.0,ISU growth model
2025-05-02,PG-1002,Finisher West,FW1,40,130.5,3.76,3.88,2222,8617.0,ISU growth model
2025-05-03,PG-1002,Finisher West,FW1,41,132.4,3.8,4.07,2222,9052.0,ISU growth model
2025-05-04,PG-1002,Finisher West,FW1,42,134.3,3.84,3.78,2222,8391.0,ISU growth model
2025-05-05,PG-1002,Finisher West,FW1,43,136.3,3.88,3.9,2222,8662.0,ISU growth model
2025-05-06,PG-1002,Finisher West,FW1,44,138.2,3.92,4.12,2222,9162.0,ISU growth model
2025-05-07,PG-1002,Finisher West,FW1,45,140.1,3.96,4.0,2222,8891.0,ISU growth model
