baseSubsidyAmount,conservationComplianceSubsidyReductionAmount,coverageLevelPercent,coveragePrice,endDate,endorsementLength,expectedEndingValueAmount,headCount,insuredSharePercent,livestockRate,perHeadPremium,perHundredWeightPremium,perUnitPremium,practiceCode,producerPremiumAmount,salesEffectiveDate,subsidyPercent,targetWeightQuantity,typeCode,unitPrice,benefitsReceivedYearCount,conservationComplianceSubsidyReductionPercent,farmerRancherIndicatorCode,farmerRancherSubsidyAmount,liabilityAmount,subsidyAmount,totalPremiumAmount,commodityCode,commodityYear,countyCode,errorMessages,insurancePlanCode,isValid,reinsuranceYear,stateCode,trackingId,Commodity,Strike,Grouping Date,CME Premium,BusinessDayOfMonth,LookupMonth,LastBusinessDay,Weekdays to Expiration,Expiration Date,Futures Price
386083,0,0.99,228.54,2026-04-13 00:00:00.000,17,230.848,10000,1,0.048267,71.7,7.17,71.7,204,717011,20251215,0.35,10,820,"",0,0,"",0,22854000,386083,1103094,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",228,"202604",8.1,9,4,22,6,2026-04-02 00:00:00.000,230.025
433479,0,1,230.85,2026-04-13 00:00:00.000,17,230.848,10000,1,0.05365,80.5,8.05,80.5,204,805031,20251215,0.35,10,820,"",0,0,"",0,23085000,433479,1238510,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",230,"202604",9,9,4,22,6,2026-04-02 00:00:00.000,230.025
266281,0,0.95,217.87,2026-05-11 00:00:00.000,21,229.337,10000,1,0.03492,49.45,4.95,49.45,205,494521,20251215,0.35,10,820,"",0,0,"",0,21787000,266281,760802,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202606",8.75,7,6,21,-19,2026-06-05 00:00:00.000,223.425
298168,0,0.96,220.16,2026-05-11 00:00:00.000,21,229.337,10000,1,0.038695,55.37,5.54,55.37,205,553741,20251215,0.35,10,820,"",0,0,"",0,22016000,298168,851909,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202606",9.975,7,6,21,-19,2026-06-05 00:00:00.000,223.425
333969,0,0.97,222.46,2026-05-11 00:00:00.000,21,229.337,10000,1,0.042893,62.02,6.2,62.02,205,620229,20251215,0.35,10,820,"",0,0,"",0,22246000,333969,954198,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",222,"202606",10.725,7,6,21,-19,2026-06-05 00:00:00.000,223.425
372679,0,0.98,224.75,2026-05-11 00:00:00.000,21,229.337,10000,1,0.047377,69.21,6.92,69.21,205,692119,20251215,0.35,10,820,"",0,0,"",0,22475000,372679,1064798,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",224,"202606",11.3,7,6,21,-19,2026-06-05 00:00:00.000,223.425
414397,0,0.99,227.04,2026-05-11 00:00:00.000,21,229.337,10000,1,0.052149,76.96,7.7,76.96,205,769594,20251215,0.35,10,820,"",0,0,"",0,22704000,414397,1183991,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",228,"202606",13.15,7,6,21,-19,2026-06-05 00:00:00.000,223.425
460078,0,1,229.34,2026-05-11 00:00:00.000,21,229.337,10000,1,0.057317,85.44,8.54,85.44,205,854430,20251215,0.35,10,820,"",0,0,"",0,22934000,460078,1314508,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",230,"202606",14.25,7,6,21,-19,2026-06-05 00:00:00.000,223.425
303728,0,0.95,213.39,2026-06-15 00:00:00.000,26,224.618,10000,1,0.040667,56.41,5.64,56.41,206,564065,20251215,0.35,10,820,"",0,0,"",0,21339000,303728,867793,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202606",7.65,11,6,22,5,2026-06-05 00:00:00.000,223.425
336629,0,0.96,215.63,2026-06-15 00:00:00.000,26,224.618,10000,1,0.044604,62.52,6.25,62.52,206,625167,20251215,0.35,10,820,"",0,0,"",0,21563000,336629,961796,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202606",7.85,11,6,22,5,2026-06-05 00:00:00.000,223.425
373314,0,0.97,217.88,2026-06-15 00:00:00.000,26,224.618,10000,1,0.048954,69.33,6.93,69.33,206,693296,20251215,0.35,10,820,"",0,0,"",0,21788000,373314,1066610,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202606",8.75,11,6,22,5,2026-06-05 00:00:00.000,223.425
411985,0,0.98,220.13,2026-06-15 00:00:00.000,26,224.618,10000,1,0.053473,76.51,7.65,76.51,206,765116,20251215,0.35,10,820,"",0,0,"",0,22013000,411985,1177101,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202606",9.975,11,6,22,5,2026-06-05 00:00:00.000,223.425
454477,0,0.99,222.37,2026-06-15 00:00:00.000,26,224.618,10000,1,0.058394,84.4,8.44,84.4,206,844030,20251215,0.35,10,820,"",0,0,"",0,22237000,454477,1298507,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",222,"202606",10.725,11,6,22,5,2026-06-05 00:00:00.000,223.425
498998,0,1,224.62,2026-06-15 00:00:00.000,26,224.618,10000,1,0.063472,92.67,9.27,92.67,206,926710,20251215,0.35,10,820,"",0,0,"",0,22462000,498998,1425708,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",224,"202606",11.3,11,6,22,5,2026-06-05 00:00:00.000,223.425
325851,0,0.95,212.04,2026-07-13 00:00:00.000,30,223.201,10000,1,0.043907,60.52,6.05,60.52,207,605153,20251215,0.35,10,820,"",0,0,"",0,21204000,325851,931004,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202608",9.175,9,8,23,-19,2026-08-07 00:00:00.000,219.45
358294,0,0.96,214.27,2026-07-13 00:00:00.000,30,223.201,10000,1,0.047776,66.54,6.65,66.54,207,665402,20251215,0.35,10,820,"",0,0,"",0,21427000,358294,1023696,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202608",9.95,9,8,23,-19,2026-08-07 00:00:00.000,219.45
394379,0,0.97,216.5,2026-07-13 00:00:00.000,30,223.201,10000,1,0.052046,73.24,7.32,73.24,207,732417,20251215,0.35,10,820,"",0,0,"",0,21650000,394379,1126796,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202608",11,9,8,23,-19,2026-08-07 00:00:00.000,219.45
432145,0,0.98,218.74,2026-07-13 00:00:00.000,30,223.201,10000,1,0.056446,80.26,8.03,80.26,207,802555,20251215,0.35,10,820,"",0,0,"",0,21874000,432145,1234700,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202608",11.625,9,8,23,-19,2026-08-07 00:00:00.000,219.45
473519,0,0.99,220.97,2026-07-13 00:00:00.000,30,223.201,10000,1,0.061226,87.94,8.79,87.94,207,879392,20251215,0.35,10,820,"",0,0,"",0,22097000,473519,1352911,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202608",13.15,9,8,23,-19,2026-08-07 00:00:00.000,219.45
516639,0,1,223.2,2026-07-13 00:00:00.000,30,223.201,10000,1,0.066134,95.95,9.59,95.95,207,959472,20251215,0.35,10,820,"",0,0,"",0,22320000,516639,1476111,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",224,"202608",14.525,9,8,23,-19,2026-08-07 00:00:00.000,219.45
349685,0,0.95,209.97,2026-08-10 00:00:00.000,34,221.019,10000,1,0.047583,64.94,6.49,64.94,208,649415,20251215,0.35,10,820,"",0,0,"",0,20997000,349685,999100,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",210,"202608",8.475,6,8,21,0,2026-08-07 00:00:00.000,219.45
383814,0,0.96,212.18,2026-08-10 00:00:00.000,34,221.019,10000,1,0.051683,71.28,7.13,71.28,208,712796,20251215,0.35,10,820,"",0,0,"",0,21218000,383814,1096610,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202608",9.175,6,8,21,0,2026-08-07 00:00:00.000,219.45
419717,0,0.97,214.39,2026-08-10 00:00:00.000,34,221.019,10000,1,0.055935,77.95,7.79,77.95,208,779473,20251215,0.35,10,820,"",0,0,"",0,21439000,419717,1199190,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202608",9.95,6,8,21,0,2026-08-07 00:00:00.000,219.45
458287,0,0.98,216.6,2026-08-10 00:00:00.000,34,221.019,10000,1,0.060452,85.11,8.51,85.11,208,851103,20251215,0.35,10,820,"",0,0,"",0,21660000,458287,1309390,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202608",11,6,8,21,0,2026-08-07 00:00:00.000,219.45
499592,0,0.99,218.81,2026-08-10 00:00:00.000,34,221.019,10000,1,0.065235,92.78,9.28,92.78,208,927815,20251215,0.35,10,820,"",0,0,"",0,21881000,499592,1427407,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202608",11.625,6,8,21,0,2026-08-07 00:00:00.000,219.45
538823,0,1,221.02,2026-08-10 00:00:00.000,34,221.019,10000,1,0.069654,100.07,10.01,100.07,208,1000670,20251215,0.35,10,820,"",0,0,"",0,22102000,538823,1539493,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",222,"202608",13.5,6,8,21,0,2026-08-07 00:00:00.000,219.45
370828,0,0.95,208.84,2026-09-14 00:00:00.000,39,219.828,10000,1,0.050733,68.87,6.89,68.87,309,688680,20251215,0.35,10,820,"",0,0,"",0,20884000,370828,1059508,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",208,"202610",9.175,10,10,22,-14,2026-10-02 00:00:00.000,218.125
404357,0,0.96,211.03,2026-09-14 00:00:00.000,39,219.828,10000,1,0.054746,75.09,7.51,75.09,309,750948,20251215,0.35,10,820,"",0,0,"",0,21103000,404357,1155305,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202610",10.65,10,10,22,-14,2026-10-02 00:00:00.000,218.125
439424,0,0.97,213.23,2026-09-14 00:00:00.000,39,219.828,10000,1,0.05888,81.61,8.16,81.61,309,816074,20251215,0.35,10,820,"",0,0,"",0,21323000,439424,1255498,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202610",11.45,10,10,22,-14,2026-10-02 00:00:00.000,218.125
476984,0,0.98,215.43,2026-09-14 00:00:00.000,39,219.828,10000,1,0.06326,88.58,8.86,88.58,309,885826,20251215,0.35,10,820,"",0,0,"",0,21543000,476984,1362810,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202610",12.3,10,10,22,-14,2026-10-02 00:00:00.000,218.125
517022,0,0.99,217.63,2026-09-14 00:00:00.000,39,219.828,10000,1,0.067877,96.02,9.6,96.02,309,960185,20251215,0.35,10,820,"",0,0,"",0,21763000,517022,1477207,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202610",13.2,10,10,22,-14,2026-10-02 00:00:00.000,218.125
554541,0,1,219.83,2026-09-14 00:00:00.000,39,219.828,10000,1,0.072074,102.99,10.3,102.99,309,1029862,20251215,0.35,10,820,"",0,0,"",0,21983000,554541,1584403,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202610",14.5,10,10,22,-14,2026-10-02 00:00:00.000,218.125
394241,0,0.95,208.05,2026-10-12 00:00:00.000,43,219.004,10000,1,0.054141,73.22,7.32,73.22,310,732163,20251215,0.35,10,820,"",0,0,"",0,20805000,394241,1126404,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",208,"202610",9.175,8,10,22,5,2026-10-02 00:00:00.000,218.125
429068,0,0.96,210.24,2026-10-12 00:00:00.000,43,219.004,10000,1,0.05831,79.68,7.97,79.68,310,796841,20251215,0.35,10,820,"",0,0,"",0,21024000,429068,1225909,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",210,"202610",9.9,8,10,22,5,2026-10-02 00:00:00.000,218.125
466482,0,0.97,212.43,2026-10-12 00:00:00.000,43,219.004,10000,1,0.062741,86.63,8.66,86.63,310,866325,20251215,0.35,10,820,"",0,0,"",0,21243000,466482,1332807,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202610",10.65,8,10,22,5,2026-10-02 00:00:00.000,218.125
505470,0,0.98,214.62,2026-10-12 00:00:00.000,43,219.004,10000,1,0.067291,93.87,9.39,93.87,310,938729,20251215,0.35,10,820,"",0,0,"",0,21462000,505470,1444199,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202610",11.45,8,10,22,5,2026-10-02 00:00:00.000,218.125
546141,0,0.99,216.81,2026-10-12 00:00:00.000,43,219.004,10000,1,0.071971,101.43,10.14,101.43,310,1014262,20251215,0.35,10,820,"",0,0,"",0,21681000,546141,1560403,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202610",12.3,8,10,22,5,2026-10-02 00:00:00.000,218.125
585484,0,1,219,2026-10-12 00:00:00.000,43,219.004,10000,1,0.076384,108.73,10.87,108.73,310,1087326,20251215,0.35,10,820,"",0,0,"",0,21900000,585484,1672810,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",220,"202610",14.5,8,10,22,5,2026-10-02 00:00:00.000,218.125
409567,0,0.95,207.96,2026-11-09 00:00:00.000,47,218.905,10000,1,0.05627,76.06,7.61,76.06,311,760624,20251215,0.35,10,820,"",0,0,"",0,20796000,409567,1170191,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",208,"202612",10.225,6,12,21,-19,2026-12-04 00:00:00.000,218.075
444081,0,0.96,210.15,2026-11-09 00:00:00.000,47,218.905,10000,1,0.060376,82.47,8.25,82.47,311,824721,20251215,0.35,10,820,"",0,0,"",0,21015000,444081,1268802,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",210,"202612",11.25,6,12,21,-19,2026-12-04 00:00:00.000,218.075
481007,0,0.97,212.34,2026-11-09 00:00:00.000,47,218.905,10000,1,0.064722,89.33,8.93,89.33,311,893300,20251215,0.35,10,820,"",0,0,"",0,21234000,481007,1374307,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202612",11.775,6,12,21,-19,2026-12-04 00:00:00.000,218.075
519434,0,0.98,214.53,2026-11-09 00:00:00.000,47,218.905,10000,1,0.069179,96.47,9.65,96.47,311,964663,20251215,0.35,10,820,"",0,0,"",0,21453000,519434,1484097,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202612",12.6,6,12,21,-19,2026-12-04 00:00:00.000,218.075
559333,0,0.99,216.72,2026-11-09 00:00:00.000,47,218.905,10000,1,0.07374,103.88,10.39,103.88,311,1038760,20251215,0.35,10,820,"",0,0,"",0,21672000,559333,1598093,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202612",13.45,6,12,21,-19,2026-12-04 00:00:00.000,218.075
597693,0,1,218.91,2026-11-09 00:00:00.000,47,218.905,10000,1,0.078009,111,11.1,111,311,1110002,20251215,0.35,10,820,"",0,0,"",0,21891000,597693,1707695,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202612",14.375,6,12,21,-19,2026-12-04 00:00:00.000,218.075
444011,0,0.95,207.92,2026-12-14 00:00:00.000,52,218.868,10000,1,0.061014,82.46,8.25,82.46,312,824592,20251215,0.35,10,820,"",0,0,"",0,20792000,444011,1268603,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",208,"202612",10.225,10,12,23,5,2026-12-04 00:00:00.000,218.075
479464,0,0.96,210.11,2026-12-14 00:00:00.000,52,218.868,10000,1,0.065198999999999993,89.04,8.9,89.04,312,890432,20251215,0.35,10,820,"",0,0,"",0,21011000,479464,1369896,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",210,"202612",11.25,10,12,23,5,2026-12-04 00:00:00.000,218.075
516427,0,0.97,212.3,2026-12-14 00:00:00.000,52,218.868,10000,1,0.069501,95.91,9.59,95.91,312,959079,20251215,0.35,10,820,"",0,0,"",0,21230000,516427,1475506,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",212,"202612",11.775,10,12,23,5,2026-12-04 00:00:00.000,218.075
556813,0,0.98,214.49,2026-12-14 00:00:00.000,52,218.868,10000,1,0.074171,103.41,10.34,103.41,312,1034081,20251215,0.35,10,820,"",0,0,"",0,21449000,556813,1590894,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",214,"202612",12.6,10,12,23,5,2026-12-04 00:00:00.000,218.075
598711,0,0.99,216.68,2026-12-14 00:00:00.000,52,218.868,10000,1,0.078946,111.19,11.12,111.19,312,1111891,20251215,0.35,10,820,"",0,0,"",0,21668000,598711,1710602,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",216,"202612",13.45,10,12,23,5,2026-12-04 00:00:00.000,218.075
643087,0,1,218.87,2026-12-14 00:00:00.000,52,218.868,10000,1,0.083949,119.43,11.94,119.43,312,1194305,20251215,0.35,10,820,"",0,0,"",0,21887000,643087,1837392,802,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","LIVE CATTLE",218,"202612",14.375,10,12,23,5,2026-12-04 00:00:00.000,218.075
292490,0,0.95,318.26,2026-03-16 00:00:00.000,13,335.012,10000,1,0.026258,54.32,5.43,54.32,203,543197,20251215,0.35,10,810,"",0,0,"",0,31826000,292490,835687,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",318,"202603",7.8,11,3,22,-8,2026-03-26 00:00:00.000,334.85
336002,0,0.96,321.61,2026-03-16 00:00:00.000,13,335.012,10000,1,0.02985,62.4,6.24,62.4,203,624004,20251215,0.35,10,810,"",0,0,"",0,32161000,336002,960006,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",322,"202603",9.025,11,3,22,-8,2026-03-26 00:00:00.000,334.85
379992,0,0.97,324.96,2026-03-16 00:00:00.000,13,335.012,10000,1,0.03341,70.57,7.06,70.57,203,705699,20251215,0.35,10,810,"",0,0,"",0,32496000,379992,1085691,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",324,"202603",9.7,11,3,22,-8,2026-03-26 00:00:00.000,334.85
428264,0,0.98,328.31,2026-03-16 00:00:00.000,13,335.012,10000,1,0.03727,79.53,7.95,79.53,203,795347,20251215,0.35,10,810,"",0,0,"",0,32831000,428264,1223611,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",328,"202603",11.125,11,3,22,-8,2026-03-26 00:00:00.000,334.85
486043,0,0.99,331.66,2026-03-16 00:00:00.000,13,335.012,10000,1,0.041871,90.27,9.03,90.27,203,902651,20251215,0.35,10,810,"",0,0,"",0,33166000,486043,1388694,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",332,"202603",12.75,11,3,22,-8,2026-03-26 00:00:00.000,334.85
545123,0,1,335.01,2026-03-16 00:00:00.000,13,335.012,10000,1,0.046491,101.24,10.12,101.24,203,1012372,20251215,0.35,10,810,"",0,0,"",0,33501000,545123,1557495,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",336,"202603",14.55,11,3,22,-8,2026-03-26 00:00:00.000,334.85
379644,0,0.95,317.33,2026-04-13 00:00:00.000,17,334.029,10000,1,0.034182,70.51,7.05,70.51,204,705053,20251215,0.35,10,810,"",0,0,"",0,31733000,379644,1084697,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",318,"202604",10.25,9,4,22,-13,2026-04-30 00:00:00.000,333.775
422305,0,0.96,320.67,2026-04-13 00:00:00.000,17,334.029,10000,1,0.037627,78.43,7.84,78.43,204,784280,20251215,0.35,10,810,"",0,0,"",0,32067000,422305,1206585,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",320,"202604",11.45,9,4,22,-13,2026-04-30 00:00:00.000,333.775
474185,0,0.97,324.01,2026-04-13 00:00:00.000,17,334.029,10000,1,0.041814,88.06,8.81,88.06,204,880630,20251215,0.35,10,810,"",0,0,"",0,32401000,474185,1354815,801,2026,998,"[List]",81,True,2026,1,"3fa85f64-5717-4562-b3fc-2c963f66afa6","FDR CATTLE",324,"202604",12.3,9,4,22,-13,2026-04-30 00:00:00.000,333.775
