report_date,for_date_begin,avg_carcass_weight,avg_backfat,avg_loin_area,avg_loin_depth,standard_lean_yield,wtd_avg_base,wtd_avg_net_price,WeekofYear,Year,IndexbyYear
2021-10-26 00:00:00.000,2021-10-25 00:00:00.000,214.67,".66","7.86","2.62","53.40","80.41","82.25","442",2021,209
2021-10-18 00:00:00.000,2021-10-15 00:00:00.000,216.39,".66","7.86","2.61","53.40","84.95","86.85","431",2021,203
2021-10-13 00:00:00.000,2021-10-12 00:00:00.000,213.42,".66","7.87","2.62","53.40","87.57","89.40","423",2021,200
2021-10-11 00:00:00.000,2021-10-08 00:00:00.000,215.5,".66","7.85","2.61","53.40","88.90","90.87","421",2021,198
2021-09-27 00:00:00.000,2021-09-24 00:00:00.000,214.61,".66","7.84","2.61","53.40","88.54","90.62","401",2021,188
2021-09-23 00:00:00.000,2021-09-22 00:00:00.000,212,".66","7.82","2.60","53.40","88.60","90.68","394",2021,186
2021-07-19 00:00:00.000,2021-07-16 00:00:00.000,211.32,".66","7.79","2.59","53.40","107.62","109.70","301",2021,139
2021-06-01 00:00:00.000,2021-05-28 00:00:00.000,215.41,".66","7.76","2.58","53.40","108.72","110.56","232",2021,106
2021-04-15 00:00:00.000,2021-04-14 00:00:00.000,216.95,".66","7.80","2.59","53.40","99.09","101.06","164",2021,74
2020-12-23 00:00:00.000,2020-12-22 00:00:00.000,217.04,".66","7.68","2.56","53.40","62.11","63.90","523",2020,251
2020-12-16 00:00:00.000,2020-12-15 00:00:00.000,217.05,".66","7.80","2.60","53.40","64.36","66.23","513",2020,246
2020-10-06 00:00:00.000,2020-10-05 00:00:00.000,213.55,".66","7.81","2.60","53.40","74.17","76.07","412",2020,196
2020-10-05 00:00:00.000,2020-10-02 00:00:00.000,215.93,".66","7.81","2.60","53.40","74.40","76.26","411",2020,195
2020-10-02 00:00:00.000,2020-10-01 00:00:00.000,215.34,".66","7.76","2.58","53.40","73.48","75.27","405",2020,194
2020-06-26 00:00:00.000,2020-06-25 00:00:00.000,213.55,".66","7.75","2.58","53.40","49.98","52.05","265",2020,126
2020-06-24 00:00:00.000,2020-06-23 00:00:00.000,213.1,".66","7.70","2.56","53.40","50.63","52.45","263",2020,124
2020-04-20 00:00:00.000,2020-04-17 00:00:00.000,217.02,".66","7.86","2.62","53.40","48.97","50.92","171",2020,78
2020-04-17 00:00:00.000,2020-04-16 00:00:00.000,216.26,".66","7.76","2.58","53.40","48.34","50.12","165",2020,77
2020-04-07 00:00:00.000,2020-04-06 00:00:00.000,213.77,".66","7.70","2.56","53.40","55.51","57.45","152",2020,69
2020-04-03 00:00:00.000,2020-04-02 00:00:00.000,215.45,".66","7.79","2.59","53.40","60.10","62.11","145",2020,67
2020-03-27 00:00:00.000,2020-03-26 00:00:00.000,215.43,".66","7.79","2.59","53.40","66.14","67.99","135",2020,62
2020-03-25 00:00:00.000,2020-03-24 00:00:00.000,214.99,".66","7.79","2.59","53.40","65.76","67.42","133",2020,60
2020-03-06 00:00:00.000,2020-03-05 00:00:00.000,216.6,".66","7.85","2.61","53.40","59.85","61.65","105",2020,47
2020-02-28 00:00:00.000,2020-02-27 00:00:00.000,216.22,".66","7.87","2.62","53.40","59.23","61.15","95",2020,42
2020-02-14 00:00:00.000,2020-02-13 00:00:00.000,216.47,".66","7.88","2.62","53.40","56.94","58.88","75",2020,32
2020-02-07 00:00:00.000,2020-02-06 00:00:00.000,216.62,".66","7.84","2.61","53.40","60.00","61.94","65",2020,27
2020-01-28 00:00:00.000,2020-01-27 00:00:00.000,215.31,".66","7.78","2.59","53.40","64.04","65.73","52",2020,19
2020-01-24 00:00:00.000,2020-01-23 00:00:00.000,216.93,".66","7.86","2.61","53.40","63.69","65.47","45",2020,17
2020-01-22 00:00:00.000,2020-01-21 00:00:00.000,215.85,".66","7.82","2.60","53.40","63.48","65.15","43",2020,15
2020-01-16 00:00:00.000,2020-01-15 00:00:00.000,216.65,".66","7.84","2.61","53.40","62.30","63.94","34",2020,11
2020-01-14 00:00:00.000,2020-01-13 00:00:00.000,216.07,".66","7.87","2.62","53.40","61.34","63.02","32",2020,9
2020-01-13 00:00:00.000,2020-01-10 00:00:00.000,219.68,".66","7.91","2.63","53.40","61.07","62.65","31",2020,8
2020-01-08 00:00:00.000,2020-01-07 00:00:00.000,216.99,".66","7.90","2.63","53.40","62.07","63.67","23",2020,5
2019-12-27 00:00:00.000,2019-12-26 00:00:00.000,216.22,".66","7.82","2.60","53.40","61.44","63.06","525",2019,252
2019-12-20 00:00:00.000,2019-12-19 00:00:00.000,215.4,".66","7.87","2.62","53.40","61.97","63.85","515",2019,249
2019-12-19 00:00:00.000,2019-12-18 00:00:00.000,214.79,".66","7.84","2.61","53.40","62.37","64.10","514",2019,248
2019-12-18 00:00:00.000,2019-12-17 00:00:00.000,213.89,".66","7.83","2.61","53.40","62.60","64.35","513",2019,247
2019-12-17 00:00:00.000,2019-12-16 00:00:00.000,214.98,".66","7.87","2.62","53.40","62.38","63.97","512",2019,246
2019-12-13 00:00:00.000,2019-12-12 00:00:00.000,215.67,".66","7.85","2.61","53.40","61.32","63.19","505",2019,244
2019-12-05 00:00:00.000,2019-12-04 00:00:00.000,215.77,".66","7.84","2.61","53.40","61.05","62.58","494",2019,238
2019-12-04 00:00:00.000,2019-12-03 00:00:00.000,215.58,".66","7.86","2.62","53.40","60.56","62.09","493",2019,237
2019-11-29 00:00:00.000,2019-11-27 00:00:00.000,215.58,".66","7.85","2.61","53.40","60.09","61.72","485",2019,234
2019-11-27 00:00:00.000,2019-11-26 00:00:00.000,214.94,".66","7.88","2.62","53.40","60.94","62.50","483",2019,233
2019-11-26 00:00:00.000,2019-11-25 00:00:00.000,214.63,".66","7.85","2.61","53.40","61.34","62.98","482",2019,232
2019-11-21 00:00:00.000,2019-11-20 00:00:00.000,214.28,".66","7.82","2.60","53.40","62.30","63.92","474",2019,229
2019-11-14 00:00:00.000,2019-11-13 00:00:00.000,214.9,".66","7.87","2.62","53.40","61.93","63.43","464",2019,224
2019-11-05 00:00:00.000,2019-11-04 00:00:00.000,213.44,".66","7.87","2.62","53.40","62.33","64.05","452",2019,217
2019-10-28 00:00:00.000,2019-10-25 00:00:00.000,215.95,".66","7.84","2.61","53.40","64.00","65.95","441",2019,211
2019-10-24 00:00:00.000,2019-10-23 00:00:00.000,213.47,".66","7.83","2.61","53.40","65.84","67.93","434",2019,209
2019-10-17 00:00:00.000,2019-10-16 00:00:00.000,212.56,".66","7.82","2.60","53.40","66.19","68.07","424",2019,204
2019-10-16 00:00:00.000,2019-10-15 00:00:00.000,211.58,".66","7.81","2.60","53.40","64.25","66.31","423",2019,203
2019-10-14 00:00:00.000,2019-10-11 00:00:00.000,213.89,".66","7.86","2.62","53.40","62.83","64.70","421",2019,201
2019-10-04 00:00:00.000,2019-10-03 00:00:00.000,212.54,".66","7.89","2.62","53.40","61.52","63.63","405",2019,195
2019-09-30 00:00:00.000,2019-09-27 00:00:00.000,213.17,".66","7.80","2.59","53.40","59.12","61.15","401",2019,191
2019-07-01 00:00:00.000,2019-06-28 00:00:00.000,213.11,".66","7.78","2.59","53.40","73.80","75.77","271",2019,128
2019-06-19 00:00:00.000,2019-06-18 00:00:00.000,212.82,".66","7.78","2.59","53.40","78.50","80.56","253",2019,120
2019-06-18 00:00:00.000,2019-06-17 00:00:00.000,212.25,".66","7.79","2.59","53.40","78.18","80.00","252",2019,119
2019-06-17 00:00:00.000,2019-06-14 00:00:00.000,215.31,".66","7.89","2.63","53.40","77.23","79.31","251",2019,118
2019-06-14 00:00:00.000,2019-06-13 00:00:00.000,214.51,".66","7.87","2.62","53.40","77.42","79.36","245",2019,117
2019-02-19 00:00:00.000,2019-02-18 00:00:00.000,215.04,".66","7.80","2.60","53.40","56.41","58.08","82",2019,35
2019-02-15 00:00:00.000,2019-02-14 00:00:00.000,216.55,".66","7.88","2.62","53.40","55.87","57.60","75",2019,33
2019-02-08 00:00:00.000,2019-02-07 00:00:00.000,215.26,".66","7.79","2.59","53.40","56.95","58.79","65",2019,28
2019-02-07 00:00:00.000,2019-02-06 00:00:00.000,215.39,".66","7.84","2.61","53.40","57.30","59.01","64",2019,27
2019-02-06 00:00:00.000,2019-02-05 00:00:00.000,214.12,".66","7.80","2.59","53.40","57.87","59.86","63",2019,26
2019-02-04 00:00:00.000,2019-02-01 00:00:00.000,216.42,".66","7.80","2.59","53.40","57.70","59.52","61",2019,24
2019-01-23 00:00:00.000,2019-01-22 00:00:00.000,214.39,".66","7.81","2.60","53.40","59.27","61.04","43",2019,16
2019-01-21 00:00:00.000,2019-01-18 00:00:00.000,216.15,".66","7.92","2.63","53.40","58.87","60.55","41",2019,14
2019-01-18 00:00:00.000,2019-01-17 00:00:00.000,215.94,".66","7.85","2.61","53.40","59.11","60.82","35",2019,13
2019-01-15 00:00:00.000,2019-01-14 00:00:00.000,214.15,".66","7.81","2.60","53.40","58.62","60.77","32",2019,10
2019-01-14 00:00:00.000,2019-01-11 00:00:00.000,217.38,".66","7.87","2.62","53.40","58.31","59.86","31",2019,9
2019-01-10 00:00:00.000,2019-01-09 00:00:00.000,215.46,".66","7.86","2.61","53.40","57.87","59.61","24",2019,7
2019-01-08 00:00:00.000,2019-01-07 00:00:00.000,215.14,".66","7.80","2.60","53.40","56.91","58.64","22",2019,5
2019-01-04 00:00:00.000,2019-01-03 00:00:00.000,216.31,".66","7.87","2.62","53.40","56.11","57.86","15",2019,3
2019-01-03 00:00:00.000,2019-01-02 00:00:00.000,216.17,".66","7.84","2.61","53.40","55.83","57.49","14",2019,2
2018-12-28 00:00:00.000,2018-12-27 00:00:00.000,215.71,".66","7.84","2.61","53.40","55.80","57.43","525",2018,253
2018-12-27 00:00:00.000,2018-12-26 00:00:00.000,214.99,".66","7.84","2.61","53.40","55.03","56.79","524",2018,252
2018-12-24 00:00:00.000,2018-12-21 00:00:00.000,214.98,".66","7.88","2.62","53.40","54.90","56.93","521",2018,251
2018-12-21 00:00:00.000,2018-12-20 00:00:00.000,214.4,".66","7.80","2.60","53.40","55.59","57.41","515",2018,250
2018-12-20 00:00:00.000,2018-12-19 00:00:00.000,213.25,".66","7.83","2.60","53.40","56.03","57.93","514",2018,249
2018-12-18 00:00:00.000,2018-12-17 00:00:00.000,212.16,".66","7.77","2.59","53.40","56.00","57.95","512",2018,247
2018-12-14 00:00:00.000,2018-12-13 00:00:00.000,214.31,".66","7.86","2.62","53.40","55.53","57.53","505",2018,245
2018-12-13 00:00:00.000,2018-12-12 00:00:00.000,213.58,".66","7.83","2.61","53.40","55.85","57.80","504",2018,244
2018-12-11 00:00:00.000,2018-12-10 00:00:00.000,213.09,".66","7.81","2.60","53.40","56.32","58.42","502",2018,242
2018-12-10 00:00:00.000,2018-12-07 00:00:00.000,215.47,".66","7.83","2.60","53.40","56.37","58.24","501",2018,241
2018-12-05 00:00:00.000,2018-12-04 00:00:00.000,213.26,".66","7.85","2.61","53.40","56.73","58.71","493",2018,238
2018-12-04 00:00:00.000,2018-12-03 00:00:00.000,212.74,".66","7.73","2.57","53.40","57.32","59.21","492",2018,237
2018-11-28 00:00:00.000,2018-11-27 00:00:00.000,212.85,".66","7.83","2.60","53.40","57.09","59.10","483",2018,233
2018-11-23 00:00:00.000,2018-11-21 00:00:00.000,213.17,".66","7.83","2.61","53.40","57.67","59.76","475",2018,230
2018-11-21 00:00:00.000,2018-11-20 00:00:00.000,212.24,".66","7.80","2.60","53.40","58.23","60.13","473",2018,229
2018-11-20 00:00:00.000,2018-11-19 00:00:00.000,212.16,".66","7.71","2.57","53.40","58.52","60.49","472",2018,228
2018-11-16 00:00:00.000,2018-11-15 00:00:00.000,213.52,".66","7.81","2.60","53.40","58.43","60.50","465",2018,226
2018-11-15 00:00:00.000,2018-11-14 00:00:00.000,213,".66","7.81","2.60","53.40","58.92","60.88","464",2018,225
2018-11-14 00:00:00.000,2018-11-13 00:00:00.000,211.81,".66","7.80","2.60","53.40","59.36","61.39","463",2018,224
2018-11-01 00:00:00.000,2018-10-31 00:00:00.000,212.01,".66","7.80","2.60","53.40","62.59","64.82","444",2018,215
2018-10-30 00:00:00.000,2018-10-29 00:00:00.000,211.02,".66","7.76","2.58","53.40","62.83","64.92","442",2018,213
2018-10-26 00:00:00.000,2018-10-25 00:00:00.000,211.75,".66","7.80","2.60","53.40","62.64","64.85","435",2018,211
2018-10-25 00:00:00.000,2018-10-24 00:00:00.000,211.21,".66","7.79","2.59","53.40","63.14","65.27","434",2018,210
2018-10-24 00:00:00.000,2018-10-23 00:00:00.000,211,".66","7.78","2.59","53.40","63.15","65.41","433",2018,209
2018-10-23 00:00:00.000,2018-10-22 00:00:00.000,210.63,".66","7.76","2.58","53.40","63.93","66.17","432",2018,208
2018-10-18 00:00:00.000,2018-10-17 00:00:00.000,211.19,".66","7.80","2.59","53.40","65.36","67.53","424",2018,205
2018-10-17 00:00:00.000,2018-10-16 00:00:00.000,210.41,".66","7.70","2.56","53.40","65.86","68.05","423",2018,204
2018-10-12 00:00:00.000,2018-10-11 00:00:00.000,211.72,".66","7.81","2.60","53.40","67.12","69.27","415",2018,201
2018-10-10 00:00:00.000,2018-10-09 00:00:00.000,209.49,".66","7.71","2.57","53.40","67.30","69.65","413",2018,199
2018-10-05 00:00:00.000,2018-10-04 00:00:00.000,210.27,".66","7.75","2.58","53.40","67.48","69.67","405",2018,196
2018-06-26 00:00:00.000,2018-06-25 00:00:00.000,207.31,".66","7.65","2.55","53.40","81.88","84.12","262",2018,125
2018-06-25 00:00:00.000,2018-06-22 00:00:00.000,209.13,".66","7.82","2.60","53.40","81.92","84.49","261",2018,124
2018-01-16 00:00:00.000,2018-01-15 00:00:00.000,212.43,".66","7.71","2.57","53.40","70.08","71.91","32",2018,11
2018-01-12 00:00:00.000,2018-01-11 00:00:00.000,214.65,".66","7.78","2.59","53.40","68.89","70.56","25",2018,9
2018-01-08 00:00:00.000,2018-01-05 00:00:00.000,215.43,".66","7.86","2.61","53.40","65.30","67.05","21",2018,5
2018-01-05 00:00:00.000,2018-01-04 00:00:00.000,215.16,".66","7.87","2.62","53.40","64.35","66.19","15",2018,4
2017-12-26 00:00:00.000,2017-12-22 00:00:00.000,214.06,".66","7.91","2.63","53.40","61.35","63.49","532",2017,251
2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,212.84,".66","7.86","2.62","53.40","62.03","64.01","523",2017,248
2017-12-18 00:00:00.000,2017-12-15 00:00:00.000,215.12,".66","7.88","2.62","53.40","62.12","64.15","521",2017,246
2017-12-14 00:00:00.000,2017-12-13 00:00:00.000,213.98,".66","7.89","2.62","53.40","63.73","65.68","514",2017,244
2017-12-07 00:00:00.000,2017-12-06 00:00:00.000,214.78,".66","7.95","2.64","53.40","64.37","66.31","504",2017,239
2017-11-13 00:00:00.000,2017-11-10 00:00:00.000,214.14,".66","8.02","2.67","53.40","64.85","67.01","471",2017,222
2017-10-05 00:00:00.000,2017-10-04 00:00:00.000,209.97,".66","7.90","2.63","53.40","57.25","59.48","414",2017,195
2017-09-20 00:00:00.000,2017-09-19 00:00:00.000,209.72,".66","7.84","2.61","53.40","60.91","63.20","393",2017,184
2017-09-19 00:00:00.000,2017-09-18 00:00:00.000,210.08,".66","7.90","2.63","53.40","61.75","63.95","392",2017,183
2017-09-18 00:00:00.000,2017-09-15 00:00:00.000,211.92,".66","7.89","2.62","53.40","61.47","63.83","391",2017,182
2017-09-15 00:00:00.000,2017-09-14 00:00:00.000,211.05,".66","7.88","2.62","53.40","63.31","65.72","385",2017,181
2017-09-14 00:00:00.000,2017-09-13 00:00:00.000,210.58,".66","7.87","2.62","53.40","63.91","66.25","384",2017,180
2017-09-05 00:00:00.000,2017-09-01 00:00:00.000,210.56,".66","7.95","2.64","53.40","68.35","71.02","372",2017,173
2017-09-01 00:00:00.000,2017-08-31 00:00:00.000,209.1,".66","7.89","2.62","53.40","69.98","72.45","365",2017,172
2017-08-31 00:00:00.000,2017-08-30 00:00:00.000,208.77,".66","7.91","2.63","53.40","70.50","72.99","364",2017,171
2017-08-30 00:00:00.000,2017-08-29 00:00:00.000,208.11,".66","7.86","2.61","53.40","71.62","74.13","363",2017,170
2017-08-10 00:00:00.000,2017-08-09 00:00:00.000,206.7,".66","7.74","2.57","53.40","81.86","84.40","334",2017,156
2017-07-25 00:00:00.000,2017-07-24 00:00:00.000,205.76,".66","7.69","2.56","53.40","86.26","88.53","312",2017,144
2017-07-12 00:00:00.000,2017-07-11 00:00:00.000,207.1,".66","7.79","2.59","53.40","88.05","90.70","293",2017,135
2017-06-22 00:00:00.000,2017-06-21 00:00:00.000,207.21,".66","7.75","2.58","53.40","84.94","87.71","264",2017,122
2017-06-19 00:00:00.000,2017-06-16 00:00:00.000,208.24,".66","7.77","2.58","53.40","81.55","84.16","261",2017,119
2017-06-12 00:00:00.000,2017-06-09 00:00:00.000,210.61,".66","7.78","2.59","53.40","77.76","80.29","251",2017,114
2017-05-12 00:00:00.000,2017-05-11 00:00:00.000,211.93,".66","7.72","2.57","53.40","69.35","71.67","205",2017,94
2017-04-21 00:00:00.000,2017-04-20 00:00:00.000,214.46,".66","7.90","2.63","53.40","61.15","63.38","175",2017,79
2017-04-07 00:00:00.000,2017-04-06 00:00:00.000,213.84,".66","7.93","2.64","53.40","64.11","66.39","155",2017,69
2017-04-03 00:00:00.000,2017-03-31 00:00:00.000,214.23,".66","7.98","2.65","53.40","65.06","67.57","151",2017,65
2017-03-28 00:00:00.000,2017-03-27 00:00:00.000,212.85,".66","7.86","2.62","53.40","67.99","70.19","142",2017,61
2017-03-13 00:00:00.000,2017-03-10 00:00:00.000,213.94,".66","7.85","2.61","53.40","69.32","71.70","121",2017,50
2017-03-08 00:00:00.000,2017-03-07 00:00:00.000,212.04,".66","7.84","2.61","53.40","69.87","72.23","113",2017,47
2017-03-06 00:00:00.000,2017-03-03 00:00:00.000,213.15,".66","7.90","2.63","53.40","69.55","72.15","111",2017,45
2017-02-15 00:00:00.000,2017-02-14 00:00:00.000,211.71,".66","7.78","2.59","53.40","72.69","74.87","83",2017,32
2017-02-10 00:00:00.000,2017-02-09 00:00:00.000,212.95,".66","7.78","2.59","53.40","70.94","73.24","75",2017,29
2017-02-03 00:00:00.000,2017-02-02 00:00:00.000,212.76,".66","7.86","2.62","53.40","67.93","70.21","65",2017,24
2017-01-31 00:00:00.000,2017-01-30 00:00:00.000,211.96,".66","7.77","2.59","53.40","66.81","69.07","62",2017,21
2017-01-27 00:00:00.000,2017-01-26 00:00:00.000,213.26,".66","7.84","2.61","53.40","66.11","68.40","55",2017,19
2017-01-25 00:00:00.000,2017-01-24 00:00:00.000,211.73,".66","7.79","2.59","53.40","65.57","67.86","53",2017,17
2017-01-23 00:00:00.000,2017-01-20 00:00:00.000,215.19,".66","7.87","2.62","53.40","64.67","66.89","51",2017,15
2017-01-19 00:00:00.000,2017-01-18 00:00:00.000,213.24,".66","7.82","2.60","53.40","64.76","67.10","44",2017,13
2017-01-13 00:00:00.000,2017-01-12 00:00:00.000,214.48,".66","7.86","2.61","53.40","62.16","64.24","35",2017,9
2017-01-12 00:00:00.000,2017-01-11 00:00:00.000,212.82,".66","7.77","2.58","53.40","61.30","63.36","34",2017,8
2017-01-11 00:00:00.000,2017-01-10 00:00:00.000,212.57,".66","7.73","2.57","53.40","60.83","62.75","33",2017,7
2017-01-10 00:00:00.000,2017-01-09 00:00:00.000,212.86,".66","7.69","2.56","53.40","59.68","61.69","32",2017,6
2025-12-03 00:00:00.000,2025-12-02 00:00:00.000,219.75,".66","8.01","2.66","53.70","80.70","82.04","493",2025,236
2025-11-26 00:00:00.000,2025-11-25 00:00:00.000,218.01,".66","8.01","2.66","53.70","81.24","82.63","483",2025,232
2025-11-21 00:00:00.000,2025-11-20 00:00:00.000,218.7,".66","8.02","2.67","53.70","82.51","83.99","475",2025,229
2025-11-20 00:00:00.000,2025-11-19 00:00:00.000,217.87,".66","7.96","2.65","53.70","83.31","84.84","474",2025,228
2025-11-12 00:00:00.000,2025-11-11 00:00:00.000,216.61,".66","7.87","2.62","53.70","86.64","88.17","463",2025,222
2025-11-04 00:00:00.000,2025-11-03 00:00:00.000,216.47,".66","7.90","2.63","53.70","87.73","89.34","452",2025,216
2025-10-29 00:00:00.000,2025-10-28 00:00:00.000,216.39,".66","7.99","2.66","53.70","88.35","89.96","443",2025,212
2025-10-17 00:00:00.000,2025-10-16 00:00:00.000,216.5,".66","7.96","2.65","53.70","91.84","93.64","425",2025,204
2025-10-15 00:00:00.000,2025-10-14 00:00:00.000,215.36,".66","7.94","2.64","53.70","93.88","95.64","423",2025,202
2025-10-13 00:00:00.000,2025-10-10 00:00:00.000,217.84,".66","8.05","2.68","53.70","94.57","96.38","421",2025,200
2025-10-10 00:00:00.000,2025-10-09 00:00:00.000,216.22,".66","8.01","2.66","53.70","95.37","97.23","415",2025,199
2025-10-09 00:00:00.000,2025-10-08 00:00:00.000,215.48,".66","7.93","2.64","53.70","95.87","97.74","414",2025,198
2025-10-08 00:00:00.000,2025-10-07 00:00:00.000,215.32,".66","7.89","2.63","53.70","96.43","98.13","413",2025,197
2025-10-02 00:00:00.000,2025-10-01 00:00:00.000,214.85,".66","7.99","2.66","53.70","98.58","100.52","404",2025,193
2025-09-30 00:00:00.000,2025-09-29 00:00:00.000,214.34,".66","7.97","2.65","53.70","99.60","101.53","402",2025,191
2025-09-25 00:00:00.000,2025-09-24 00:00:00.000,214.71,".66","7.94","2.64","53.70","100.03","101.84","394",2025,188
2025-09-18 00:00:00.000,2025-09-17 00:00:00.000,213.15,".66","7.87","2.62","53.70","100.17","101.95","384",2025,183
2025-07-28 00:00:00.000,2025-07-25 00:00:00.000,211.72,".66","7.78","2.59","53.70","104.96","106.92","311",2025,146
2025-07-21 00:00:00.000,2025-07-18 00:00:00.000,213.03,".66","7.85","2.61","53.70","103.90","105.83","301",2025,141
2025-06-27 00:00:00.000,2025-06-26 00:00:00.000,211.91,".66","7.86","2.61","53.70","106.96","109.05","265",2025,126
2025-06-26 00:00:00.000,2025-06-25 00:00:00.000,211.95,".66","7.88","2.62","53.70","107.10","109.06","264",2025,125
2025-06-25 00:00:00.000,2025-06-24 00:00:00.000,211.16,".66","7.85","2.61","53.70","107.06","108.97","263",2025,124
2025-06-18 00:00:00.000,2025-06-17 00:00:00.000,212.46,".66","7.90","2.63","53.70","103.12","104.89","253",2025,119
2025-06-17 00:00:00.000,2025-06-16 00:00:00.000,212.43,".66","7.81","2.60","53.70","101.94","103.60","252",2025,118
2025-06-12 00:00:00.000,2025-06-11 00:00:00.000,214.2,".66","7.85","2.61","53.70","99.04","100.95","244",2025,115
2025-06-11 00:00:00.000,2025-06-10 00:00:00.000,214.16,".66","7.84","2.61","53.70","98.41","100.15","243",2025,114
2025-06-10 00:00:00.000,2025-06-09 00:00:00.000,213.92,".66","7.82","2.60","53.70","98.00","99.71","242",2025,113
2025-06-06 00:00:00.000,2025-06-05 00:00:00.000,215.26,".66","7.91","2.63","53.70","95.84","97.75","235",2025,111
2025-06-04 00:00:00.000,2025-06-03 00:00:00.000,214.02,".66","7.82","2.60","53.70","95.19","96.83","233",2025,109
2025-05-08 00:00:00.000,2025-05-07 00:00:00.000,216.1,".66","7.92","2.64","53.70","88.74","90.53","194",2025,91
2025-05-06 00:00:00.000,2025-05-05 00:00:00.000,215.03,".66","7.90","2.63","53.70","89.04","90.80","192",2025,89
2024-11-25 00:00:00.000,2024-11-22 00:00:00.000,216.61,".66","7.99","2.66","53.70","83.09","85.12","481",2024,232
2024-09-10 00:00:00.000,2024-09-09 00:00:00.000,211.6,".66","7.82","2.60","53.70","83.88","85.86","372",2024,178
2024-08-27 00:00:00.000,2024-08-26 00:00:00.000,209.17,".66","7.72","2.57","53.70","85.70","87.71","352",2024,169
2024-08-22 00:00:00.000,2024-08-21 00:00:00.000,211.12,".66","7.85","2.61","53.70","85.96","88.12","344",2024,166
2024-08-15 00:00:00.000,2024-08-14 00:00:00.000,209.81,".66","7.78","2.59","53.70","88.64","90.66","334",2024,161
2024-08-14 00:00:00.000,2024-08-13 00:00:00.000,209.67,".66","7.84","2.61","53.70","88.83","90.84","333",2024,160
2024-08-13 00:00:00.000,2024-08-12 00:00:00.000,208.57,".66","7.72","2.57","53.70","89.16","91.13","332",2024,159
2024-08-09 00:00:00.000,2024-08-08 00:00:00.000,211.39,".66","7.89","2.62","53.70","90.08","92.07","325",2024,157
2024-08-02 00:00:00.000,2024-08-01 00:00:00.000,210.71,".66","7.83","2.60","53.70","92.22","94.25","315",2024,152
2024-07-17 00:00:00.000,2024-07-16 00:00:00.000,210.43,".66","7.85","2.61","53.70","88.21","90.25","293",2024,140
2024-07-16 00:00:00.000,2024-07-15 00:00:00.000,209.76,".66","7.81","2.60","53.70","87.88","90.01","292",2024,139
2024-07-15 00:00:00.000,2024-07-12 00:00:00.000,213.46,".66","7.94","2.64","53.70","87.18","89.20","291",2024,138
2024-06-04 00:00:00.000,2024-06-03 00:00:00.000,214.73,".66","7.85","2.61","53.70","91.26","93.05","232",2024,110
2024-05-21 00:00:00.000,2024-05-20 00:00:00.000,214.95,".66","7.89","2.62","53.70","91.07","92.87","212",2024,101
