date,weekly_exports,accumulated_exports,outstanding_sales,gross_sales,net_sales,total_commitment,nmy_outstanding_sales,nmy_net_sales,week_of_year,commodity,grain_year,year,indexby_year,year_grain,indexby_year_grain
1999-03-18,444656,15663444,2763095,355065,292293,18426539,2300,200,294,Soybean,1999,1999,11,1999,11
1999-03-18,165980,3314040,1037240,67794,41891,4351280,54529,2056,294,Soybean Meal,1999,1999,11,1999,11
1999-03-18,953994,25467862,7275337,692310,470757,32743199,116212,0,294,Corn,1999,1999,11,1999,11
1999-03-25,356519,16019963,2819144,422692,412568,18839107,2800,500,304,Soybean,1999,1999,12,1999,12
1999-03-25,63880,3377920,1052909,81742,79549,4430829,55359,830,304,Soybean Meal,1999,1999,12,1999,12
1999-03-25,842513,26310375,7077873,757985,645049,33388248,119212,3000,304,Corn,1999,1999,12,1999,12
1999-04-01,762288,27072663,7142044,897780,826459,34214707,145212,26000,314,Corn,1999,1999,13,1999,13
1999-04-01,134610,3512530,960351,43552,42052,4472881,59909,4550,314,Soybean Meal,1999,1999,13,1999,13
1999-04-01,414363,16434326,2684982,417941,280201,19119308,74200,71400,314,Soybean,1999,1999,13,1999,13
1999-04-08,1120926,28193589,7128462,1244309,1107344,35322051,145712,500,324,Corn,1999,1999,14,1999,14
1999-04-08,53840,3566370,985236,94721,78725,4551606,59028,-881,324,Soybean Meal,1999,1999,14,1999,14
1999-04-08,298399,16732725,2496632,126267,110049,19229357,75400,1200,324,Soybean,1999,1999,14,1999,14
1999-04-15,846737,29040326,7367299,1260634,1085574,36407625,120962,-24750,334,Corn,1999,1999,15,1999,15
1999-04-15,102872,3669242,944691,62735,62327,4613933,60317,1289,334,Soybean Meal,1999,1999,15,1999,15
1999-04-15,327549,17060274,2439866,342827,270783,19500140,51008,-24392,334,Soybean,1999,1999,15,1999,15
1999-04-22,85586,3754828,989924,133272,130819,4744752,63694,3377,344,Soybean Meal,1999,1999,16,1999,16
1999-04-22,988524,30028850,7408003,1231121,1029228,37436853,120962,0,344,Corn,1999,1999,16,1999,16
1999-04-22,255197,17315471,2347972,273983,163303,19663443,57400,6392,344,Soybean,1999,1999,16,1999,16
1999-04-29,88739,3843567,913083,63654,11898,4756650,74478,10784,354,Soybean Meal,1999,1999,17,1999,17
1999-04-29,434987,17750458,2171848,316340,258863,19922306,58620,1220,354,Soybean,1999,1999,17,1999,17
1999-04-29,1116425,31145275,7564992,1665715,1273414,38710267,120962,0,354,Corn,1999,1999,17,1999,17
1999-05-06,151891,3995458,982132,222836,220940,4977590,74690,212,364,Soybean Meal,1999,1999,18,1999,18
1999-05-06,279323,18029781,2152007,300909,259482,20181788,101340,42720,364,Soybean,1999,1999,18,1999,18
1999-05-06,661878,31807153,8246188,1469443,1343074,40053341,123962,3000,364,Corn,1999,1999,18,1999,18
1999-05-13,221500,18251281,2140788,222964,210281,20392069,110303,8963,374,Soybean,1999,1999,19,1999,19
1999-05-13,49625,4045083,1026102,100716,93595,5071185,74690,0,374,Soybean Meal,1999,1999,19,1999,19
1999-05-13,752711,32559864,8236383,1018481,742906,40796247,323106,199144,374,Corn,1999,1999,19,1999,19
1999-05-20,1265365,33825229,7533510,739192,562492,41358739,348506,25400,384,Corn,1999,1999,20,1999,20
1999-05-20,338997,18590278,1983292,237550,181501,20573570,185963,75660,384,Soybean,1999,1999,20,1999,20
1999-05-20,98878,4143961,1004373,97501,77149,5148334,75369,679,384,Soybean Meal,1999,1999,20,1999,20
1999-05-27,211285,18801563,2022781,267250,250774,20824344,186463,500,394,Soybean,1999,1999,21,1999,21
1999-05-27,115403,4259364,944725,87817,55755,5204089,86171,10802,394,Soybean Meal,1999,1999,21,1999,21
1999-05-27,929534,34754763,7972396,1765213,1368420,42727159,487735,139229,394,Corn,1999,1999,21,1999,21
1999-06-03,982277,35737040,8373043,1556265,1382924,44110083,593351,105616,404,Corn,1999,1999,22,1999,22
1999-06-03,57411,4316775,957434,79127,70120,5274209,90934,4763,404,Soybean Meal,1999,1999,22,1999,22
1999-06-03,208741,19010304,2016998,283599,202958,21027302,186463,0,404,Soybean,1999,1999,22,1999,22
1999-06-10,87631,4404406,896680,28527,26877,5301086,95934,5000,414,Soybean Meal,1999,1999,23,1999,23
1999-06-10,1137406,36874446,8085706,1155461,850069,44960152,623123,29772,414,Corn,1999,1999,23,1999,23
1999-06-10,215440,19225744,1909531,128578,107973,21135275,186463,0,414,Soybean,1999,1999,23,1999,23
1999-06-17,1243355,38117801,7667508,1198837,825157,45785309,638488,15365,424,Corn,1999,1999,24,1999,24
1999-06-17,247965,19473709,1853974,235394,192408,21327683,203463,17000,424,Soybean,1999,1999,24,1999,24
1999-06-17,82769,4487175,911043,102531,97132,5398218,103958,8024,424,Soybean Meal,1999,1999,24,1999,24
1999-06-24,174725,4661900,796611,66158,60293,5458511,106554,2596,434,Soybean Meal,1999,1999,25,1999,25
1999-06-24,1008220,39126021,7334533,1019468,675245,46460554,805861,167373,434,Corn,1999,1999,25,1999,25
1999-06-24,357541,19831250,1820271,343325,323838,21651521,283026,79563,434,Soybean,1999,1999,25,1999,25
1999-07-01,167594,4829494,731772,105117,102755,5561266,125269,18715,444,Soybean Meal,1999,1999,26,1999,26
1999-07-01,127357,19958607,1772194,164099,79280,21730801,340426,57400,444,Soybean,1999,1999,26,1999,26
1999-07-01,1152879,40278900,6955637,1014104,773983,47234537,1180241,374380,444,Corn,1999,1999,26,1999,26
1999-07-08,240338,20198945,1877914,457754,346058,22076859,826906,486480,454,Soybean,1999,1999,27,1999,27
1999-07-08,85118,4914612,766960,122365,120306,5681572,147261,21992,454,Soybean Meal,1999,1999,27,1999,27
1999-07-08,791409,41070309,7148444,1240971,984216,48218753,1991051,810810,454,Corn,1999,1999,27,1999,27
1999-07-15,65426,4980038,815248,128554,113714,5795286,163416,16155,464,Soybean Meal,1999,1999,28,1999,28
1999-07-15,297577,20496522,1895624,322676,315287,22392146,1096906,270000,464,Soybean,1999,1999,28,1999,28
1999-07-15,1136926,42207235,7104363,1578147,1092845,49311598,2502373,511322,464,Corn,1999,1999,28,1999,28
1999-07-22,885879,43093114,6849806,940649,631322,49942920,3115472,613099,474,Corn,1999,1999,29,1999,29
1999-07-22,265710,20762232,1769924,356184,140010,22532156,1581466,484560,474,Soybean,1999,1999,29,1999,29
1999-07-22,149462,5129500,703027,150944,37241,5832527,171193,7777,474,Soybean Meal,1999,1999,29,1999,29
1999-07-29,1237793,44330907,6145215,585002,533202,50476122,3405238,289766,484,Corn,1999,1999,30,1999,30
1999-07-29,226180,20988412,1821738,289024,277994,22810150,1785466,204000,484,Soybean,1999,1999,30,1999,30
1999-07-29,91532,5221032,624868,54365,13373,5845900,211016,39823,484,Soybean Meal,1999,1999,30,1999,30
1999-08-05,1151648,45482555,5650503,926374,656936,51133058,3867187,461949,494,Corn,1999,1999,31,1999,31
1999-08-05,288404,21276816,1729772,330350,196438,23006588,1998266,212800,494,Soybean,1999,1999,31,1999,31
1999-08-05,92095,5313127,556763,39494,23990,5869890,245458,34442,494,Soybean Meal,1999,1999,31,1999,31
1999-08-12,1120244,46602799,4833359,569442,303100,51436158,4758629,891442,504,Corn,1999,1999,32,1999,32
1999-08-12,76184,5389311,518091,59824,37512,5907402,280559,35101,504,Soybean Meal,1999,1999,32,1999,32
1999-08-12,403351,21680167,1497007,192345,170586,23177174,2112834,114568,504,Soybean,1999,1999,32,1999,32
1999-08-19,378156,22058323,1240941,235201,122090,23299264,2451277,338443,514,Soybean,1999,1999,33,1999,33
1999-08-19,76990,5466301,477274,39033,36173,5943575,392390,111831,514,Soybean Meal,1999,1999,33,1999,33
1999-08-19,933511,47536310,3624486,333881,-275362,51160796,5745932,987303,514,Corn,1999,1999,33,1999,33
1999-08-26,364023,22422346,887709,70393,10791,23310055,2971910,520633,524,Soybean,1999,1999,34,1999,34
1999-08-26,69075,5535376,645043,255389,236844,6180419,431013,38623,524,Soybean Meal,1999,1999,34,1999,34
1999-08-26,1292266,48828576,2435201,308810,102981,51263777,6650943,905011,524,Corn,1999,1999,34,1999,34
1999-09-02,474748,474748,8646857,2518973,654836,9121605,0,0,14,Corn,2000,1999,35,2000,1
1999-09-02,70056,70056,3799412,961311,394409,3869468,108000,108000,14,Soybean,2000,1999,35,2000,1
1999-09-02,466934,22889280,503149,93901,82374,23392429,3799412,394409,14,Soybean,2000,1999,35,2000,1
1999-09-02,728814,49557390,1815826,155369,109439,51373216,8646857,654836,14,Corn,2000,1999,35,2000,1
1999-09-02,54639,5590015,620307,33374,29903,6210322,501988,70975,14,Soybean Meal,2000,1999,35,2000,1
1999-09-09,97152,5687167,502201,16791,-20954,6189368,679992,178004,24,Soybean Meal,2000,1999,36,2000,2
1999-09-09,857897,1332645,8841376,1472278,1052416,10174021,0,0,24,Corn,2000,1999,36,2000,2
1999-09-09,340867,410923,4124726,627492,666181,4535649,18500,-89500,24,Soybean,2000,1999,36,2000,2
1999-09-16,1175382,2508027,8558248,1276305,892254,11066275,0,0,34,Corn,2000,1999,37,2000,3
1999-09-16,523919,934842,4310913,739491,710106,5245755,18500,0,34,Soybean,2000,1999,37,2000,3
1999-09-16,86055,5773222,461156,46886,45010,6234378,720233,40241,34,Soybean Meal,2000,1999,37,2000,3
1999-09-23,1034513,3542540,8224367,963724,700632,11766907,0,0,44,Corn,2000,1999,38,2000,4
1999-09-23,380656,1315498,4848250,960127,917993,6163748,18500,0,44,Soybean,2000,1999,38,2000,4
1999-09-23,233905,6007127,268920,101093,41669,6276047,937605,217372,44,Soybean Meal,2000,1999,38,2000,4
1999-09-30,120018,6127145,172282,33624,23380,6299427,1301395,191508,54,Soybean Meal,2000,1999,39,2000,5
1999-09-30,567479,1882977,5256212,1000037,975441,7139189,18500,0,54,Soybean,2000,1999,39,2000,5
1999-09-30,855610,4398150,8036640,950639,667883,12434790,0,0,54,Corn,2000,1999,39,2000,5
1999-10-07,444447,2327424,5942940,1227465,1131175,8270364,18500,0,64,Soybean,2000,1999,40,2000,6
1999-10-07,103249,103249,1297997,108708,99851,1401246,0,0,64,Soybean Meal,2000,1999,40,2000,6
1999-10-07,957141,5355291,7681539,949016,602040,13036830,0,0,64,Corn,2000,1999,40,2000,6
1999-10-14,129172,232421,1292967,125490,124142,1525388,0,0,74,Soybean Meal,2000,1999,41,2000,7
1999-10-14,966482,6321773,7768782,1271294,1053725,14090555,0,0,74,Corn,2000,1999,41,2000,7
1999-10-14,805690,3133114,5869932,828161,732682,9003046,18500,0,74,Soybean,2000,1999,41,2000,7
1999-10-21,1133584,7455357,8269889,1754207,1634691,15725246,0,0,84,Corn,2000,1999,42,2000,8
1999-10-21,719752,3852866,5661133,512431,510953,9513999,18500,0,84,Soybean,2000,1999,42,2000,8
1999-10-21,124920,357341,1303662,149021,135615,1661003,0,0,84,Soybean Meal,2000,1999,42,2000,8
1999-10-28,1171705,8627062,8417980,1463889,1319796,17045042,0,0,94,Corn,2000,1999,43,2000,9
1999-10-28,137871,495212,1283604,135429,117813,1778816,26500,26500,94,Soybean Meal,2000,1999,43,2000,9
1999-10-28,1027174,4880040,5364251,768793,730292,10244291,18500,0,94,Soybean,2000,1999,43,2000,9
1999-11-04,120837,616049,1342373,181580,179606,1958422,26500,0,104,Soybean Meal,2000,1999,44,2000,10
1999-11-04,629413,9256475,8507837,900390,719270,17764312,0,0,104,Corn,2000,1999,44,2000,10
1999-11-04,619092,5499132,5267752,591535,522593,10766884,18500,0,104,Soybean,2000,1999,44,2000,10
1999-11-11,693931,6193063,5567324,1029065,993503,11760387,18500,0,114,Soybean,2000,1999,45,2000,11
1999-11-11,997267,10253742,8756265,1353957,1245695,19010007,0,0,114,Corn,2000,1999,45,2000,11
1999-11-11,164265,780314,1244395,68838,66287,2024709,26618,118,114,Soybean Meal,2000,1999,45,2000,11
1999-11-18,96359,876673,1200302,84743,52266,2076975,26860,242,124,Soybean Meal,2000,1999,46,2000,12
1999-11-18,907585,7100648,5281685,675459,621946,12382333,18500,0,124,Soybean,2000,1999,46,2000,12
1999-11-18,926206,11179948,8835881,1133835,1005822,20015829,0,0,124,Corn,2000,1999,46,2000,12
1999-11-25,85405,962078,1226028,119315,111131,2188106,26884,24,134,Soybean Meal,2000,1999,47,2000,13
1999-11-25,1010550,12190498,8387216,689209,561885,20577714,0,0,134,Corn,2000,1999,47,2000,13
1999-11-25,711698,7812346,5146238,623895,576251,12958584,18500,0,134,Soybean,2000,1999,47,2000,13
1999-12-02,542371,8354717,5095711,700709,491844,13450428,18500,0,144,Soybean,2000,1999,48,2000,14
1999-12-02,211003,1173081,1121388,155170,106363,2294469,26907,23,144,Soybean Meal,2000,1999,48,2000,14
1999-12-02,1024786,13215284,8355670,1123669,993240,21570954,0,0,144,Corn,2000,1999,48,2000,14
1999-12-09,1062647,14277931,8351365,1329231,1058342,22629296,0,0,154,Corn,2000,1999,49,2000,15
1999-12-09,797821,9152538,4883879,679325,585989,14036417,18500,0,154,Soybean,2000,1999,49,2000,15
1999-12-09,151202,1324283,1303577,364770,333391,2627860,27628,721,154,Soybean Meal,2000,1999,49,2000,15
1999-12-16,905526,10058064,4655363,701417,677010,14713427,18500,0,164,Soybean,2000,1999,50,2000,16
1999-12-16,949191,15227122,8645208,1448265,1243034,23872330,0,0,164,Corn,2000,1999,50,2000,16
1999-12-16,180308,1504591,1227766,174832,104497,2732357,27675,47,164,Soybean Meal,2000,1999,50,2000,16
1999-12-23,521724,10579788,4446838,429377,313199,15026626,18500,0,174,Soybean,2000,1999,51,2000,17
1999-12-23,199190,1703781,1128819,105211,100243,2832600,27675,0,174,Soybean Meal,2000,1999,51,2000,17
1999-12-23,963622,16190744,8220406,670280,538820,24411150,0,0,174,Corn,2000,1999,51,2000,17
1999-12-30,819677,17010421,7894101,641625,493372,24904522,30750,30750,184,Corn,2000,1999,52,2000,18
1999-12-30,56148,1759929,1150285,98428,77614,2910214,27675,0,184,Soybean Meal,2000,1999,52,2000,18
1999-12-30,490660,11070448,4521006,579701,564828,15591454,18500,0,184,Soybean,2000,1999,52,2000,18
2000-01-06,815984,17826405,7360114,541472,281997,25186519,36647,5897,194,Corn,2000,2000,1,2000,19
2000-01-06,155912,1915841,1055272,98637,60899,2971113,27675,0,194,Soybean Meal,2000,2000,1,2000,19
2000-01-06,601255,11671703,4435642,561972,515891,16107345,18500,0,194,Soybean,2000,2000,1,2000,19
2000-01-13,1010598,18837003,7487260,1293759,1137744,26324263,36647,0,204,Corn,2000,2000,2,2000,20
2000-01-13,688525,12360228,4338115,669746,590998,16698343,19860,1360,204,Soybean,2000,2000,2,2000,20
2000-01-13,93795,2009636,1126439,203822,164962,3136075,28949,1274,204,Soybean Meal,2000,2000,2,2000,20
2000-01-20,884016,19721019,7736560,1181698,1133316,27457579,36647,0,214,Corn,2000,2000,3,2000,21
2000-01-20,155427,2165063,1069071,100576,98059,3234134,29044,95,214,Soybean Meal,2000,2000,3,2000,21
2000-01-20,618194,12978422,3886658,337942,166737,16865080,19860,0,214,Soybean,2000,2000,3,2000,21
2000-01-27,951905,20672924,7578582,940322,793927,28251506,36647,0,224,Corn,2000,2000,4,2000,22
2000-01-27,185724,2350787,1128962,248582,245615,3479749,29044,0,224,Soybean Meal,2000,2000,4,2000,22
2000-01-27,685189,13663611,3593265,447887,391796,17256876,19860,0,224,Soybean,2000,2000,4,2000,22
2000-02-03,624987,14288598,3919889,953612,951611,18208487,19860,0,234,Soybean,2000,2000,5,2000,23
2000-02-03,166551,2517338,1097196,147150,134785,3614534,32211,3167,234,Soybean Meal,2000,2000,5,2000,23
2000-02-03,818079,21491003,7770867,1297741,1010364,29261870,60647,24000,234,Corn,2000,2000,5,2000,23
2000-02-10,887787,22378790,7407951,843403,524871,29786741,60647,0,244,Corn,2000,2000,6,2000,24
2000-02-10,84098,2601436,1158103,160859,145005,3759539,32235,24,244,Soybean Meal,2000,2000,6,2000,24
2000-02-10,903878,15192476,3680668,795569,664657,18873144,19860,0,244,Soybean,2000,2000,6,2000,24
2000-02-17,149055,2750491,1121302,114561,112254,3871793,32376,141,254,Soybean Meal,2000,2000,7,2000,25
2000-02-17,664802,15857278,4001922,1014005,986056,19859200,19860,0,254,Soybean,2000,2000,7,2000,25
2000-02-17,878699,23257489,7422591,942507,893339,30680080,65647,5000,254,Corn,2000,2000,7,2000,25
2000-02-24,1033782,24291271,7517421,1290831,1128612,31808692,72147,6500,264,Corn,2000,2000,8,2000,26
2000-02-24,111252,2861743,1044539,47356,34489,3906282,32447,71,264,Soybean Meal,2000,2000,8,2000,26
2000-02-24,621692,16478970,3938180,619017,557950,20417150,19860,0,264,Soybean,2000,2000,8,2000,26
2000-03-02,611857,17090827,3832078,594631,505755,20922905,19860,0,274,Soybean,2000,2000,9,2000,27
2000-03-02,137073,2998816,1109218,225092,201752,4108034,32447,0,274,Soybean Meal,2000,2000,9,2000,27
2000-03-02,742026,25033297,8147791,1507770,1372396,33181088,72147,0,274,Corn,2000,2000,9,2000,27
2000-03-09,38005,3036821,1122462,78422,51249,4159283,57947,25500,284,Soybean Meal,2000,2000,10,2000,28
2000-03-09,1003093,18093920,3222598,512392,393613,21316518,19860,0,284,Soybean,2000,2000,10,2000,28
2000-03-09,965781,25999078,7952140,1073759,770130,33951218,72147,0,284,Corn,2000,2000,10,2000,28
2000-03-16,652996,18746916,2941048,402585,371446,21687964,19860,0,294,Soybean,2000,2000,11,2000,29
2000-03-16,906451,26905529,7536909,714944,491220,34442438,72147,0,294,Corn,2000,2000,11,2000,29
2000-03-16,155388,3192209,1035655,73467,68581,4227864,58025,78,294,Soybean Meal,2000,2000,11,2000,29
2000-03-23,194338,3386547,944697,110168,103380,4331244,58025,0,304,Soybean Meal,2000,2000,12,2000,30
2000-03-23,989891,27895420,7315582,904642,768564,35211002,72147,0,304,Corn,2000,2000,12,2000,30
2000-03-23,696563,19443479,2514446,363432,269961,21957925,19860,0,304,Soybean,2000,2000,12,2000,30
2000-03-30,202258,3588805,835915,129256,93476,4424720,58025,0,314,Soybean Meal,2000,2000,13,2000,31
2000-03-30,507675,19951154,2308540,500454,301769,22259694,19860,0,314,Soybean,2000,2000,13,2000,31
2000-03-30,931398,28826818,7249240,925939,865056,36076058,147847,75700,314,Corn,2000,2000,13,2000,31
2000-04-06,102933,3691738,797651,67516,64669,4489389,58815,790,324,Soybean Meal,2000,2000,14,2000,32
2000-04-06,502365,20453519,2020780,282361,214605,22474299,19860,0,324,Soybean,2000,2000,14,2000,32
2000-04-06,841168,29667986,7131860,890093,723788,36799846,173247,25400,324,Corn,2000,2000,14,2000,32
2000-04-13,95489,3787227,765295,78733,63133,4552522,59027,212,334,Soybean Meal,2000,2000,15,2000,33
2000-04-13,369081,20822600,1955831,308485,304132,22778431,19860,0,334,Soybean,2000,2000,15,2000,33
2000-04-13,925424,30593410,7258090,1205870,1051654,37851500,198647,25400,334,Corn,2000,2000,15,2000,33
2000-04-20,1088795,31682205,7404595,1280501,1235300,39086800,198647,0,344,Corn,2000,2000,16,2000,34
2000-04-20,284655,21107255,1908657,320352,237481,23015912,20260,400,344,Soybean,2000,2000,16,2000,34
2000-04-20,102137,3889364,746335,85503,83177,4635699,59027,0,344,Soybean Meal,2000,2000,16,2000,34
2000-04-27,96891,3986255,673505,40703,24061,4659760,74005,14978,354,Soybean Meal,2000,2000,17,2000,35
2000-04-27,941709,32623914,6876882,498020,413996,39500796,228583,29936,354,Corn,2000,2000,17,2000,35
2000-04-27,187707,21294962,1978473,270086,257523,23273435,78260,58000,354,Soybean,2000,2000,17,2000,35
2000-05-04,499260,21794222,1776313,355278,297100,23570535,79778,1518,364,Soybean,2000,2000,18,2000,36
2000-05-04,808403,33432317,6816766,963848,748287,40249083,311883,83300,364,Corn,2000,2000,18,2000,36
2000-05-04,51291,4037546,675465,73025,53251,4713011,74528,523,364,Soybean Meal,2000,2000,18,2000,36
2000-05-11,649466,34081783,6940693,863955,773393,41022476,366747,54864,374,Corn,2000,2000,19,2000,37
2000-05-11,246866,22041088,1728431,219759,198984,23769519,81410,1632,374,Soybean,2000,2000,19,2000,37
2000-05-11,145647,4183193,604863,89274,75045,4788056,77046,2518,374,Soybean Meal,2000,2000,19,2000,37
2000-05-18,45825,4229018,694531,136822,135493,4923549,77627,581,384,Soybean Meal,2000,2000,20,2000,38
2000-05-18,166970,22208058,1899992,398582,338531,24108050,422410,341000,384,Soybean,2000,2000,20,2000,38
2000-05-18,888470,34970253,6979203,1027562,926980,41949456,472147,105400,384,Corn,2000,2000,20,2000,38
2000-05-25,73500,4302518,684246,79922,63215,4986764,85814,8187,394,Soybean Meal,2000,2000,21,2000,39
2000-05-25,845351,35815604,6888488,869388,754636,42704092,511155,39008,394,Corn,2000,2000,21,2000,39
2000-05-25,220117,22428175,1972711,318506,292836,24400886,422410,0,394,Soybean,2000,2000,21,2000,39
2000-06-01,77630,4380148,911827,311099,305211,5291975,91690,5876,404,Soybean Meal,2000,2000,22,2000,40
2000-06-01,768735,36584339,7062548,1031266,942795,43646887,529443,18288,404,Corn,2000,2000,22,2000,40
2000-06-01,286085,22714260,2020402,355764,333776,24734662,440410,18000,404,Soybean,2000,2000,22,2000,40
2000-06-08,60155,4440303,839832,127881,-11840,5280135,115172,23482,414,Soybean Meal,2000,2000,23,2000,41
2000-06-08,916008,37500347,7124895,1121852,978355,44625242,654647,125204,414,Corn,2000,2000,23,2000,41
2000-06-08,367235,23081495,2057689,434273,404522,25139184,440410,0,414,Soybean,2000,2000,23,2000,41
2000-06-15,145973,4586276,777784,112679,83925,5364060,115589,417,424,Soybean Meal,2000,2000,24,2000,42
2000-06-15,769968,38270315,7249624,1141076,894697,45519939,829519,174872,424,Corn,2000,2000,24,2000,42
2000-06-15,204862,23286357,2141459,405289,288632,25427816,576610,136200,424,Soybean,2000,2000,24,2000,42
2000-06-22,252393,23538750,2078685,211254,189619,25617435,595610,19000,434,Soybean,2000,2000,25,2000,43
2000-06-22,62244,4648520,776546,80810,61006,5425066,126811,11222,434,Soybean Meal,2000,2000,25,2000,43
2000-06-22,764570,39034885,7160983,864914,675929,46195868,995537,166018,434,Corn,2000,2000,25,2000,43
2000-06-29,67085,4715605,760138,66824,50677,5475743,168251,41440,444,Soybean Meal,2000,2000,26,2000,44
2000-06-29,388185,23926935,2111983,562063,421483,26038918,698610,103000,444,Soybean,2000,2000,26,2000,44
2000-06-29,741153,39776038,7227161,984889,807331,47003199,1064148,68611,444,Corn,2000,2000,26,2000,44
2000-07-06,61422,4777027,765620,89639,66904,5542647,199899,31648,454,Soybean Meal,2000,2000,27,2000,45
2000-07-06,981202,40757240,6819833,857493,573874,47577073,1235020,170872,454,Corn,2000,2000,27,2000,45
2000-07-06,135813,24062748,2196833,246731,220663,26259581,723610,25000,454,Soybean,2000,2000,27,2000,45
2000-07-13,416611,24479359,1992841,251643,212619,26472200,956610,233000,464,Soybean,2000,2000,28,2000,46
2000-07-13,37699,4814726,802562,79645,74641,5617288,208547,8648,464,Soybean Meal,2000,2000,28,2000,46
2000-07-13,910302,41667542,6716133,1017304,806602,48383675,1528678,293658,464,Corn,2000,2000,28,2000,46
2000-07-20,320905,24800264,1922684,276846,250748,26722948,1227231,270621,474,Soybean,2000,2000,29,2000,47
2000-07-20,182279,4997005,801974,183829,181691,5798979,215000,6453,474,Soybean Meal,2000,2000,29,2000,47
2000-07-20,892519,42560061,6478077,763618,654463,49038138,1877424,348746,474,Corn,2000,2000,29,2000,47
2000-07-27,901082,43461143,6115721,644440,538726,49576864,2358365,480941,484,Corn,2000,2000,30,2000,48
2000-07-27,140700,5137705,687668,88744,26394,5825373,286082,71082,484,Soybean Meal,2000,2000,30,2000,48
2000-07-27,375081,25175345,1788136,243888,240533,26963481,1608486,381255,484,Soybean,2000,2000,30,2000,48
2000-08-03,54472,5192177,738436,115804,105240,5930613,326038,39956,494,Soybean Meal,2000,2000,31,2000,49
2000-08-03,855628,44316771,5765785,783543,505692,50082556,3115986,757621,494,Corn,2000,2000,31,2000,49
2000-08-03,449476,25624821,1635387,364952,296727,27260208,2381133,772647,494,Soybean,2000,2000,31,2000,49
2000-08-10,70683,5262860,754773,87288,87020,6017633,360038,34000,504,Soybean Meal,2000,2000,32,2000,50
2000-08-10,365994,25990815,1360039,247038,90646,27350854,2853812,472679,504,Soybean,2000,2000,32,2000,50
