year,indexby_year,slaughter,type,slaughter_date,is_yoy_change
2010,4,-126000,Cow,2010-01-25,True
2010,5,-118200,Cow,2010-02-01,True
2010,6,-106500,Cow,2010-02-08,True
2010,7,-117900,Cow,2010-02-15,True
2010,8,-127000,Cow,2010-02-22,True
2010,9,-124100,Cow,2010-03-01,True
2010,10,-124400,Cow,2010-03-08,True
2010,11,-117800,Cow,2010-03-15,True
2010,12,-115900,Cow,2010-03-22,True
2010,13,-114600,Cow,2010-03-29,True
2010,14,-119900,Cow,2010-04-05,True
2010,15,-125400,Cow,2010-04-12,True
2010,16,-122800,Cow,2010-04-19,True
2010,17,-124900,Cow,2010-04-26,True
2010,18,-124700,Cow,2010-05-03,True
2010,19,-127600,Cow,2010-05-10,True
2010,20,-125600,Cow,2010-05-17,True
2010,21,-121600,Cow,2010-05-24,True
2010,22,-108800,Cow,2010-05-31,True
2010,23,-119000,Cow,2010-06-07,True
2010,24,-117800,Cow,2010-06-14,True
2010,25,-117400,Cow,2010-06-21,True
2010,26,-114600,Cow,2010-06-28,True
2010,27,-101400,Cow,2010-07-05,True
2010,28,-120000,Cow,2010-07-12,True
2010,29,-121700,Cow,2010-07-19,True
2010,30,-118300,Cow,2010-07-26,True
2010,31,-114900,Cow,2010-08-02,True
2010,32,-113200,Cow,2010-08-09,True
2010,33,-117900,Cow,2010-08-16,True
2010,34,-122000,Cow,2010-08-23,True
2010,35,-129500,Cow,2010-08-30,True
2010,36,-113900,Cow,2010-09-06,True
2010,37,-129100,Cow,2010-09-13,True
2010,38,-128300,Cow,2010-09-20,True
2010,39,-123100,Cow,2010-09-27,True
2010,40,-127000,Cow,2010-10-04,True
2010,41,-127500,Cow,2010-10-11,True
2010,42,-134400,Cow,2010-10-18,True
2010,43,-136800,Cow,2010-10-25,True
2010,44,-141200,Cow,2010-11-01,True
2010,45,-143700,Cow,2010-11-08,True
2010,46,-143900,Cow,2010-11-15,True
2010,47,-114400,Cow,2010-11-22,True
2010,48,-141700,Cow,2010-11-29,True
2010,49,-139500,Cow,2010-12-06,True
2010,50,-135600,Cow,2010-12-13,True
2010,51,-109200,Cow,2010-12-20,True
2011,1,-137700,Cow,2011-01-03,True
2011,2,-129700,Cow,2011-01-10,True
2011,3,-130900,Cow,2011-01-17,True
2011,4,-132300,Cow,2011-01-24,True
2011,5,-122900,Cow,2011-01-31,True
2011,6,-119500,Cow,2011-02-07,True
2011,7,-126200,Cow,2011-02-14,True
2011,8,-127900,Cow,2011-02-21,True
2011,9,-123700,Cow,2011-02-28,True
2011,10,-118300,Cow,2011-03-07,True
2011,11,-116300,Cow,2011-03-14,True
2011,12,-118100,Cow,2011-03-21,True
2011,13,-116800,Cow,2011-03-28,True
2011,14,-122600,Cow,2011-04-04,True
2011,15,-126800,Cow,2011-04-11,True
2011,16,-123600,Cow,2011-04-18,True
2011,17,-121300,Cow,2011-04-25,True
2011,18,-121200,Cow,2011-05-02,True
2011,19,-121200,Cow,2011-05-09,True
2011,20,-125400,Cow,2011-05-16,True
2011,21,-123500,Cow,2011-05-23,True
2011,22,-104800,Cow,2011-05-30,True
2011,23,-116200,Cow,2011-06-06,True
2011,24,-122500,Cow,2011-06-13,True
2011,25,-125500,Cow,2011-06-20,True
2011,26,-125300,Cow,2011-06-27,True
2011,27,-100800,Cow,2011-07-04,True
2011,28,-129700,Cow,2011-07-11,True
2011,29,-127700,Cow,2011-07-18,True
2011,30,-128300,Cow,2011-07-25,True
2011,31,-129300,Cow,2011-08-01,True
2011,32,-127300,Cow,2011-08-08,True
2011,33,-133200,Cow,2011-08-15,True
2011,34,-136700,Cow,2011-08-22,True
2011,35,-136000,Cow,2011-08-29,True
2011,36,-121700,Cow,2011-09-05,True
2011,37,-147700,Cow,2011-09-12,True
2011,38,-148000,Cow,2011-09-19,True
2011,39,-146100,Cow,2011-09-26,True
2011,40,-140500,Cow,2011-10-03,True
2011,41,-132000,Cow,2011-10-10,True
2011,42,-140400,Cow,2011-10-17,True
2011,43,-146200,Cow,2011-10-24,True
2011,44,-146700,Cow,2011-10-31,True
2011,45,-148900,Cow,2011-11-07,True
2011,46,-150100,Cow,2011-11-14,True
2011,47,-116500,Cow,2011-11-21,True
2011,48,-143600,Cow,2011-11-28,True
2011,49,-145900,Cow,2011-12-05,True
2011,50,-142800,Cow,2011-12-12,True
2011,51,-130500,Cow,2011-12-19,True
2011,52,-114700,Cow,2011-12-26,True
2012,1,-122600,Cow,2012-01-02,True
2012,2,-141200,Cow,2012-01-09,True
2012,3,-133400,Cow,2012-01-16,True
2012,4,-126100,Cow,2012-01-23,True
2012,5,-128400,Cow,2012-01-30,True
2012,6,-124300,Cow,2012-02-06,True
2012,7,-119200,Cow,2012-02-13,True
2012,8,-115500,Cow,2012-02-20,True
2012,9,-119000,Cow,2012-02-27,True
2012,10,-124600,Cow,2012-03-05,True
2012,11,-115600,Cow,2012-03-12,True
2012,12,-115800,Cow,2012-03-19,True
2012,13,-116800,Cow,2012-03-26,True
2012,14,-114400,Cow,2012-04-02,True
2012,15,-109900,Cow,2012-04-09,True
2012,16,-114700,Cow,2012-04-16,True
2012,17,-111200,Cow,2012-04-23,True
2012,18,-113900,Cow,2012-04-30,True
2012,19,-116300,Cow,2012-05-07,True
2012,20,-113300,Cow,2012-05-14,True
2012,21,-116400,Cow,2012-05-21,True
2012,22,-103000,Cow,2012-05-28,True
2012,23,-121400,Cow,2012-06-04,True
2012,24,-119000,Cow,2012-06-11,True
2012,25,-114600,Cow,2012-06-18,True
2012,26,-116000,Cow,2012-06-25,True
2012,27,-100800,Cow,2012-07-02,True
2012,28,-124800,Cow,2012-07-09,True
2012,29,-132400,Cow,2012-07-16,True
2012,30,-121900,Cow,2012-07-23,True
2012,31,-120900,Cow,2012-07-30,True
2012,32,-118100,Cow,2012-08-06,True
2012,33,-121700,Cow,2012-08-13,True
2012,34,-125700,Cow,2012-08-20,True
2012,35,-129200,Cow,2012-08-27,True
2012,36,-108600,Cow,2012-09-03,True
2012,37,-127900,Cow,2012-09-10,True
2012,38,-129000,Cow,2012-09-17,True
2012,39,-132300,Cow,2012-09-24,True
2012,40,-129200,Cow,2012-10-01,True
2012,41,-132900,Cow,2012-10-08,True
2012,42,-135400,Cow,2012-10-15,True
2012,43,-138300,Cow,2012-10-22,True
2012,44,-138800,Cow,2012-10-29,True
2012,45,-145400,Cow,2012-11-05,True
2012,46,-142200,Cow,2012-11-12,True
2012,47,-117800,Cow,2012-11-19,True
2012,48,-143300,Cow,2012-11-26,True
2012,49,-147700,Cow,2012-12-03,True
2012,50,-141900,Cow,2012-12-10,True
2012,51,-136800,Cow,2012-12-17,True
2012,52,-93500,Cow,2012-12-24,True
2012,53,-101700,Cow,2012-12-31,True
2013,1,-141100,Cow,2013-01-07,True
2013,2,-135100,Cow,2013-01-14,True
2013,3,-125600,Cow,2013-01-21,True
2013,4,-123300,Cow,2013-01-28,True
2013,5,-119400,Cow,2013-02-04,True
2013,6,-121900,Cow,2013-02-11,True
2013,7,-119300,Cow,2013-02-18,True
2013,8,-116900,Cow,2013-02-25,True
2013,9,-123700,Cow,2013-03-04,True
2013,10,-123900,Cow,2013-03-11,True
2013,11,-126200,Cow,2013-03-18,True
2013,12,-120200,Cow,2013-03-25,True
2013,13,-123300,Cow,2013-04-01,True
2013,14,-126800,Cow,2013-04-08,True
2013,15,-125400,Cow,2013-04-15,True
2013,16,-126500,Cow,2013-04-22,True
2013,17,-125900,Cow,2013-04-29,True
2013,18,-123800,Cow,2013-05-06,True
2013,19,-124700,Cow,2013-05-13,True
2013,20,-126000,Cow,2013-05-20,True
2013,21,-109200,Cow,2013-05-27,True
2013,22,-123100,Cow,2013-06-03,True
2013,23,-120400,Cow,2013-06-10,True
2013,24,-119000,Cow,2013-06-17,True
2013,25,-114900,Cow,2013-06-24,True
2013,26,-97900,Cow,2013-07-01,True
2013,27,-121000,Cow,2013-07-08,True
2013,28,-121500,Cow,2013-07-15,True
2013,29,-117100,Cow,2013-07-22,True
2013,30,-117600,Cow,2013-07-29,True
2013,31,-111500,Cow,2013-08-05,True
2013,32,-111800,Cow,2013-08-12,True
2013,33,-114500,Cow,2013-08-19,True
2013,34,-120100,Cow,2013-08-26,True
2013,35,-102800,Cow,2013-09-02,True
2013,36,-124100,Cow,2013-09-09,True
2013,37,-118100,Cow,2013-09-16,True
2013,38,-119900,Cow,2013-09-23,True
2013,39,-116300,Cow,2013-09-30,True
2013,40,-118800,Cow,2013-10-07,True
2013,41,-118600,Cow,2013-10-14,True
2013,42,-121500,Cow,2013-10-21,True
2013,43,-126100,Cow,2013-10-28,True
2013,44,-125600,Cow,2013-11-04,True
2013,45,-127500,Cow,2013-11-11,True
2013,46,-129400,Cow,2013-11-18,True
2013,47,-102900,Cow,2013-11-25,True
2013,48,-127300,Cow,2013-12-02,True
2013,49,-119300,Cow,2013-12-09,True
2013,50,-118900,Cow,2013-12-16,True
2013,51,-90400,Cow,2013-12-23,True
2013,52,-101500,Cow,2013-12-30,True
2014,1,-116600,Cow,2014-01-06,True
2014,2,-135840,Cow,2014-01-13,True
2014,3,-125487,Cow,2014-01-20,True
2014,4,-107722,Cow,2014-01-27,True
2014,5,-109293,Cow,2014-02-03,True
2014,6,-101904,Cow,2014-02-10,True
2014,7,-108615,Cow,2014-02-17,True
2014,8,-116888,Cow,2014-02-24,True
2014,9,-106633,Cow,2014-03-03,True
2014,10,-112118,Cow,2014-03-10,True
2014,11,-112893,Cow,2014-03-17,True
2014,12,-112544,Cow,2014-03-24,True
2014,13,-109649,Cow,2014-03-31,True
2014,14,-105958,Cow,2014-04-07,True
2014,15,-102740,Cow,2014-04-14,True
2014,16,-99460,Cow,2014-04-21,True
2014,17,-102223,Cow,2014-04-28,True
2014,18,-103162,Cow,2014-05-05,True
2014,19,-101940,Cow,2014-05-12,True
2014,20,-104866,Cow,2014-05-19,True
2014,21,-89851,Cow,2014-05-26,True
2014,22,-103836,Cow,2014-06-02,True
2014,23,-99390,Cow,2014-06-09,True
2014,24,-97389,Cow,2014-06-16,True
2014,25,-92166,Cow,2014-06-23,True
2014,26,-79803,Cow,2014-06-30,True
2014,27,-96339,Cow,2014-07-07,True
2014,28,-102349,Cow,2014-07-14,True
2014,29,-96114,Cow,2014-07-21,True
2014,30,-92732,Cow,2014-07-28,True
2014,31,-95335,Cow,2014-08-04,True
2014,32,-97133,Cow,2014-08-11,True
2014,33,-98420,Cow,2014-08-18,True
2014,34,-99281,Cow,2014-08-25,True
2014,35,-87353,Cow,2014-09-01,True
2014,36,-98587,Cow,2014-09-08,True
2014,37,-102784,Cow,2014-09-15,True
2014,38,-101000,Cow,2014-09-22,True
2014,39,-99333,Cow,2014-09-29,True
2014,40,-102040,Cow,2014-10-06,True
2014,41,-101482,Cow,2014-10-13,True
2014,42,-105262,Cow,2014-10-20,True
2014,43,-108455,Cow,2014-10-27,True
2014,44,-108732,Cow,2014-11-03,True
2014,45,-111119,Cow,2014-11-10,True
2014,46,-108091,Cow,2014-11-17,True
2014,47,-87159,Cow,2014-11-24,True
2014,48,-113565,Cow,2014-12-01,True
2014,49,-110598,Cow,2014-12-08,True
2014,50,-107310,Cow,2014-12-15,True
2014,51,-75791,Cow,2014-12-22,True
2014,52,-85052,Cow,2014-12-29,True
2015,1,-111091,Cow,2015-01-05,True
2015,2,-112090,Cow,2015-01-12,True
2015,3,-116690,Cow,2015-01-19,True
2015,4,-115909,Cow,2015-01-26,True
2015,5,-108203,Cow,2015-02-02,True
2015,6,-109520,Cow,2015-02-09,True
2015,7,-101673,Cow,2015-02-16,True
2015,8,-102828,Cow,2015-02-23,True
2015,9,-102277,Cow,2015-03-02,True
2015,10,-101963,Cow,2015-03-09,True
2015,11,-103240,Cow,2015-03-16,True
2015,12,-104469,Cow,2015-03-23,True
2015,13,-98970,Cow,2015-03-30,True
2015,14,-99838,Cow,2015-04-06,True
2015,15,-98204,Cow,2015-04-13,True
2015,16,-99288,Cow,2015-04-20,True
2015,17,-96327,Cow,2015-04-27,True
2015,18,-99628,Cow,2015-05-04,True
2015,19,-96959,Cow,2015-05-11,True
2015,20,-93942,Cow,2015-05-18,True
2015,21,-80768,Cow,2015-05-25,True
2015,22,-96491,Cow,2015-06-01,True
2015,23,-91091,Cow,2015-06-08,True
2015,24,-91879,Cow,2015-06-15,True
2015,25,-87997,Cow,2015-06-22,True
2015,26,-85894,Cow,2015-06-29,True
2015,27,-93403,Cow,2015-07-06,True
2015,28,-90257,Cow,2015-07-13,True
2015,29,-88183,Cow,2015-07-20,True
2015,30,-89511,Cow,2015-07-27,True
2015,31,-86409,Cow,2015-08-03,True
2015,32,-88293,Cow,2015-08-10,True
2015,33,-90457,Cow,2015-08-17,True
2015,34,-92661,Cow,2015-08-24,True
2015,35,-99384,Cow,2015-08-31,True
2015,36,-87934,Cow,2015-09-07,True
2015,37,-104677,Cow,2015-09-14,True
2015,38,-103406,Cow,2015-09-21,True
2015,39,-104505,Cow,2015-09-28,True
2015,40,-101714,Cow,2015-10-05,True
2015,41,-100808,Cow,2015-10-12,True
2015,42,-100417,Cow,2015-10-19,True
2015,43,-105470,Cow,2015-10-26,True
2015,44,-109178,Cow,2015-11-02,True
2015,45,-110736,Cow,2015-11-09,True
2015,46,-109527,Cow,2015-11-16,True
2015,47,-84785,Cow,2015-11-23,True
2015,48,-104905,Cow,2015-11-30,True
2015,49,-109019,Cow,2015-12-07,True
2015,50,-108128,Cow,2015-12-14,True
2015,51,-79760,Cow,2015-12-21,True
2015,52,-80645,Cow,2015-12-28,True
2016,1,-116640,Cow,2016-01-04,True
2016,2,-114886,Cow,2016-01-11,True
2016,3,-110314,Cow,2016-01-18,True
2016,4,-113488,Cow,2016-01-25,True
2016,5,-108231,Cow,2016-02-01,True
2016,6,-105319,Cow,2016-02-08,True
2016,7,-104956,Cow,2016-02-15,True
2016,8,-108224,Cow,2016-02-22,True
2016,9,-104595,Cow,2016-02-29,True
2016,10,-105339,Cow,2016-03-07,True
2016,11,-103257,Cow,2016-03-14,True
2016,12,-97751,Cow,2016-03-21,True
2016,13,-97041,Cow,2016-03-28,True
2016,14,-98876,Cow,2016-04-04,True
2016,15,-104107,Cow,2016-04-11,True
2016,16,-99649,Cow,2016-04-18,True
2016,17,-102553,Cow,2016-04-25,True
2016,18,-101129,Cow,2016-05-02,True
2016,19,-100775,Cow,2016-05-09,True
2016,20,-102553,Cow,2016-05-16,True
2016,21,-101222,Cow,2016-05-23,True
2016,22,-91035,Cow,2016-05-30,True
2016,23,-99384,Cow,2016-06-06,True
2016,24,-98519,Cow,2016-06-13,True
2016,25,-97003,Cow,2016-06-20,True
2016,26,-101879,Cow,2016-06-27,True
2016,27,-83585,Cow,2016-07-04,True
2016,28,-103033,Cow,2016-07-11,True
2016,29,-100775,Cow,2016-07-18,True
2016,30,-94714,Cow,2016-07-25,True
2016,31,-96814,Cow,2016-08-01,True
2016,32,-97210,Cow,2016-08-08,True
2016,33,-101197,Cow,2016-08-15,True
2016,34,-102730,Cow,2016-08-22,True
2016,35,-105375,Cow,2016-08-29,True
2016,36,-91511,Cow,2016-09-05,True
2016,37,-108765,Cow,2016-09-12,True
2016,38,-107584,Cow,2016-09-19,True
2016,39,-104909,Cow,2016-09-26,True
2016,40,-108866,Cow,2016-10-03,True
2016,41,-109756,Cow,2016-10-10,True
2016,42,-112031,Cow,2016-10-17,True
2016,43,-116226,Cow,2016-10-24,True
2016,44,-116831,Cow,2016-10-31,True
2016,45,-117010,Cow,2016-11-07,True
2016,46,-117521,Cow,2016-11-14,True
2016,47,-95331,Cow,2016-11-21,True
2016,48,-114390,Cow,2016-11-28,True
2016,49,-114628,Cow,2016-12-05,True
2016,50,-115924,Cow,2016-12-12,True
2016,51,-101452,Cow,2016-12-19,True
2017,1,-104298,Cow,2017-01-02,True
2017,2,-113679,Cow,2017-01-09,True
2017,3,-113635,Cow,2017-01-16,True
2017,4,-116046,Cow,2017-01-23,True
2017,5,-116849,Cow,2017-01-30,True
2017,6,-115192,Cow,2017-02-06,True
2017,7,-113664,Cow,2017-02-13,True
2017,8,-110318,Cow,2017-02-20,True
2017,9,-111006,Cow,2017-02-27,True
2017,10,-114328,Cow,2017-03-06,True
2017,11,-104640,Cow,2017-03-13,True
2017,12,-111624,Cow,2017-03-20,True
2017,13,-109595,Cow,2017-03-27,True
2017,14,-108314,Cow,2017-04-03,True
2017,15,-102542,Cow,2017-04-10,True
2017,16,-110443,Cow,2017-04-17,True
2017,17,-109369,Cow,2017-04-24,True
2017,18,-107206,Cow,2017-05-01,True
2017,19,-108036,Cow,2017-05-08,True
2017,20,-106775,Cow,2017-05-15,True
2017,21,-106239,Cow,2017-05-22,True
2017,22,-94882,Cow,2017-05-29,True
2017,23,-111665,Cow,2017-06-05,True
2017,24,-111384,Cow,2017-06-12,True
2017,25,-109748,Cow,2017-06-19,True
2017,26,-111214,Cow,2017-06-26,True
2017,27,-88419,Cow,2017-07-03,True
2017,28,-114042,Cow,2017-07-10,True
2017,29,-109756,Cow,2017-07-17,True
2017,30,-105238,Cow,2017-07-24,True
2017,31,-107082,Cow,2017-07-31,True
2017,32,-110212,Cow,2017-08-07,True
2017,33,-110508,Cow,2017-08-14,True
2017,34,-114696,Cow,2017-08-21,True
2017,35,-112325,Cow,2017-08-28,True
2017,36,-100205,Cow,2017-09-04,True
2017,37,-114303,Cow,2017-09-11,True
2017,38,-116874,Cow,2017-09-18,True
2017,39,-113336,Cow,2017-09-25,True
2017,40,-115690,Cow,2017-10-02,True
2017,41,-118032,Cow,2017-10-09,True
2017,42,-121425,Cow,2017-10-16,True
2017,43,-116241,Cow,2017-10-23,True
2017,44,-121446,Cow,2017-10-30,True
2017,45,-120108,Cow,2017-11-06,True
2017,46,-120945,Cow,2017-11-13,True
2017,47,-100965,Cow,2017-11-20,True
2017,48,-120132,Cow,2017-11-27,True
2017,49,-123807,Cow,2017-12-04,True
2017,50,-117685,Cow,2017-12-11,True
2017,51,-116349,Cow,2017-12-18,True
2017,52,-88689,Cow,2017-12-25,True
2018,1,-103642,Cow,2018-01-01,True
2018,2,-125337,Cow,2018-01-08,True
2018,3,-123824,Cow,2018-01-15,True
2018,4,-125021,Cow,2018-01-22,True
2018,5,-124147,Cow,2018-01-29,True
2018,6,-119408,Cow,2018-02-05,True
2018,7,-121452,Cow,2018-02-12,True
2018,8,-117441,Cow,2018-02-19,True
2018,9,-119720,Cow,2018-02-26,True
2018,10,-120333,Cow,2018-03-05,True
2018,11,-123678,Cow,2018-03-12,True
2018,12,-119899,Cow,2018-03-19,True
2018,13,-115015,Cow,2018-03-26,True
2018,14,-117317,Cow,2018-04-02,True
2018,15,-116002,Cow,2018-04-09,True
2018,16,-120139,Cow,2018-04-16,True
2018,17,-118592,Cow,2018-04-23,True
2018,18,-116518,Cow,2018-04-30,True
2018,19,-116132,Cow,2018-05-07,True
2018,20,-115923,Cow,2018-05-14,True
2018,21,-115168,Cow,2018-05-21,True
2018,22,-105027,Cow,2018-05-28,True
2018,23,-116613,Cow,2018-06-04,True
2018,24,-116946,Cow,2018-06-11,True
2018,25,-113406,Cow,2018-06-18,True
2018,26,-117835,Cow,2018-06-25,True
2018,27,-99413,Cow,2018-07-02,True
2018,28,-119879,Cow,2018-07-09,True
2018,29,-119106,Cow,2018-07-16,True
2018,30,-117572,Cow,2018-07-23,True
2018,31,-114427,Cow,2018-07-30,True
2018,32,-120098,Cow,2018-08-06,True
2018,33,-121389,Cow,2018-08-13,True
2018,34,-121692,Cow,2018-08-20,True
2018,35,-120559,Cow,2018-08-27,True
2018,36,-106538,Cow,2018-09-03,True
2018,37,-123968,Cow,2018-09-10,True
2018,38,-119400,Cow,2018-09-17,True
2018,39,-118507,Cow,2018-09-24,True
2018,40,-123575,Cow,2018-10-01,True
2018,41,-121305,Cow,2018-10-08,True
2018,42,-125728,Cow,2018-10-15,True
2018,43,-126843,Cow,2018-10-22,True
2018,44,-127526,Cow,2018-10-29,True
2018,45,-128656,Cow,2018-11-05,True
2018,46,-125676,Cow,2018-11-12,True
2018,47,-101231,Cow,2018-11-19,True
2018,48,-121866,Cow,2018-11-26,True
2018,49,-127457,Cow,2018-12-03,True
2018,50,-124590,Cow,2018-12-10,True
2018,51,-128415,Cow,2018-12-17,True
2018,52,-90171,Cow,2018-12-24,True
2018,53,-103454,Cow,2018-12-31,True
2019,1,-127700,Cow,2019-01-07,True
2019,2,-129845,Cow,2019-01-14,True
2019,3,-120736,Cow,2019-01-21,True
2019,4,-117443,Cow,2019-01-28,True
2019,5,-129868,Cow,2019-02-04,True
2019,6,-127332,Cow,2019-02-11,True
2019,7,-127162,Cow,2019-02-18,True
2019,8,-127464,Cow,2019-02-25,True
2019,9,-129346,Cow,2019-03-04,True
2019,10,-124803,Cow,2019-03-11,True
2019,11,-133713,Cow,2019-03-18,True
2019,12,-127426,Cow,2019-03-25,True
2019,13,-129061,Cow,2019-04-01,True
2019,14,-123640,Cow,2019-04-08,True
2019,15,-120527,Cow,2019-04-15,True
2019,16,-119444,Cow,2019-04-22,True
2019,17,-120021,Cow,2019-04-29,True
2019,18,-119849,Cow,2019-05-06,True
2019,19,-120384,Cow,2019-05-13,True
2019,20,-116150,Cow,2019-05-20,True
2019,21,-106686,Cow,2019-05-27,True
2019,22,-120226,Cow,2019-06-03,True
2019,23,-117925,Cow,2019-06-10,True
2019,24,-118914,Cow,2019-06-17,True
2019,25,-119754,Cow,2019-06-24,True
2019,26,-102066,Cow,2019-07-01,True
2019,27,-117325,Cow,2019-07-08,True
2019,28,-118522,Cow,2019-07-15,True
2019,29,-115150,Cow,2019-07-22,True
2019,30,-117236,Cow,2019-07-29,True
2019,31,-114579,Cow,2019-08-05,True
2019,32,-121262,Cow,2019-08-12,True
2019,33,-120927,Cow,2019-08-19,True
2019,34,-121244,Cow,2019-08-26,True
2019,35,-110348,Cow,2019-09-02,True
2019,36,-126172,Cow,2019-09-09,True
2019,37,-128112,Cow,2019-09-16,True
2019,38,-123482,Cow,2019-09-23,True
2019,39,-129615,Cow,2019-09-30,True
2019,40,-128147,Cow,2019-10-07,True
2019,41,-132011,Cow,2019-10-14,True
2019,42,-132011,Cow,2019-10-21,True
2019,43,-134457,Cow,2019-10-28,True
2019,44,-135609,Cow,2019-11-04,True
2019,45,-133305,Cow,2019-11-11,True
2019,46,-135649,Cow,2019-11-18,True
2019,47,-107216,Cow,2019-11-25,True
2019,48,-136296,Cow,2019-12-02,True
2019,49,-136669,Cow,2019-12-09,True
2019,50,-132079,Cow,2019-12-16,True
2019,51,-98200,Cow,2019-12-23,True
2019,52,-113332,Cow,2019-12-30,True
2020,1,-138556,Cow,2020-01-06,True
2020,2,-133667,Cow,2020-01-13,True
2020,3,-133532,Cow,2020-01-20,True
2020,4,-130879,Cow,2020-01-27,True
2020,5,-130830,Cow,2020-02-03,True
2020,6,-123427,Cow,2020-02-10,True
2020,7,-128597,Cow,2020-02-17,True
2020,8,-123909,Cow,2020-02-24,True
