wasde_number,report_date,report_title,attribute,reliability_projection,commodity,region,market_year,proj_est_flag,annual_quarter_flag,value,unit,release_date,forecast_year,forecast_month,market_date,market_date_sort,market_year_filter,is_latest_two_dates
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Food, Seed & Industrial",,Barley,United States,2023/24,,Annual,125.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Food, Seed & Industrial",,Barley,United States,2024/25,Est.,Annual,115.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Food, Seed & Industrial",,Barley,United States,2025/26,Proj.,Annual,110.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Imports,,Barley,United States,2023/24,,Annual,13.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Imports,,Barley,United States,2024/25,Est.,Annual,9.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Imports,,Barley,United States,2025/26,Proj.,Annual,9.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,Reliability of United States August Projections,Production,average,Barley,United States,,,Annual,14.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,largest,Barley,United States,,,Annual,67.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,smallest,Barley,United States,,,Annual,1.0,Million Bushels,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,root_mean_square_error,Barley,United States,,,Annual,6.2,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,confidence_interval,Barley,United States,,,Annual,10.4,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,above_final,Barley,United States,,,Annual,27.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,below_final,Barley,United States,,,Annual,17.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Production,,Barley,United States,2023/24,,Annual,186.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Production,,Barley,United States,2024/25,Est.,Annual,144.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Production,,Barley,United States,2025/26,Proj.,Annual,141.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Stocks/Use Ratio,,Barley,United States,2023/24,,Annual,0.417112299465241,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Stocks/Use Ratio,,Barley,United States,2024/25,Est.,Annual,0.432098765432099,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Stocks/Use Ratio,,Barley,United States,2025/26,Proj.,Annual,0.466666666666667,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Supply, Total",,Barley,United States,2023/24,,Annual,265.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Supply, Total",,Barley,United States,2024/25,Est.,Annual,231.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Supply, Total",,Barley,United States,2025/26,Proj.,Annual,220.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Total Domestic,,Barley,United States,2023/24,,Annual,182.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Total Domestic,,Barley,United States,2024/25,Est.,Annual,153.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Total Domestic,,Barley,United States,2025/26,Proj.,Annual,145.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Use, Total",,Barley,United States,2023/24,,Annual,187.0,Million Bushels,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Use, Total",,Barley,United States,2024/25,Est.,Annual,162.0,Million Bushels,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use","Use, Total",,Barley,United States,2025/26,Proj.,Annual,150.0,Million Bushels,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Yield,,Barley,United States,2023/24,,Annual,72.3,bushels/acre,2025-08-12,2025,8,August 2023/24,202308.0,0,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Yield,,Barley,United States,2024/25,Est.,Annual,76.7,bushels/acre,2025-08-12,2025,8,August 2024/25,202408.0,1,0
663,2025-08-01,"U.S. Sorghum, Barley, and Oats Supply and Use",Yield,,Barley,United States,2025/26,Proj.,Annual,77.9,bushels/acre,2025-08-12,2025,8,August 2025/26,202508.0,1,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2024,,III,65.67,Dol./cwt,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2024,,IV,62.89,Dol./cwt,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2025,,I,63.59,Dol./cwt,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2025,,II,69.69,Dol./cwt,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2025,,III,77.0,Dol./cwt,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2025,,IV,67.0,Dol./cwt,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2026,,I,64.0,Dol./cwt,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2026,,II,69.0,Dol./cwt,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2024,,Annual,63.41,Dol./cwt,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2025,Proj.,Annual,69.32,Dol./cwt,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Barrows and gilts,United States,2026,Proj.,Annual,66.0,Dol./cwt,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Beef,United States,2024,,Annual,638.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Beef,United States,2026,Proj.,Annual,580.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Beef,United States,2025,Proj.,Annual,602.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Beef,United States,2024,,Annual,602.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Beef,United States,2026,Proj.,Annual,570.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Beef,United States,2025,Proj.,Annual,580.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Beef,United States,2024,,Annual,3007.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Beef,United States,2026,Proj.,Annual,2545.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Beef,United States,2025,Proj.,Annual,2682.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Beef,United States,2024,,Annual,4635.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Beef,United States,2026,Proj.,Annual,4950.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Beef,United States,2025,Proj.,Annual,5274.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Beef,United States,2024,,Annual,59.1,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Beef,United States,2026,Proj.,Annual,56.9,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Beef,United States,2025,Proj.,Annual,58.5,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2024,,III,6782.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2024,,IV,6882.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2026,,I,6235.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2026,,II,6340.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2025,,I,6543.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2025,,II,6453.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2025,,III,6415.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2025,,IV,6515.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,Reliability of United States August Projections,Production,average,Beef,United States,,,Annual,816.0,Million Pounds,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,largest,Beef,United States,,,Annual,2536.0,Million Pounds,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,smallest,Beef,United States,,,Annual,110.0,Million Pounds,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,root_mean_square_error,Beef,United States,,,Annual,4.0,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,confidence_interval,Beef,United States,,,Annual,6.8,Percent,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,above_final,Beef,United States,,,Annual,13.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,Reliability of United States August Projections,Production,below_final,Beef,United States,,,Annual,30.0,Years,2025-08-12,2025,8,August,,0,0
663,2025-08-01,U.S. Meats Supply and Use,Production,,Beef,United States,2024,,Annual,27051.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Production,,Beef,United States,2026,Proj.,Annual,25537.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Production,,Beef,United States,2025,Proj.,Annual,25992.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2024,,Annual,26984.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2025,Proj.,Annual,25926.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Beef,United States,2026,Proj.,Annual,25470.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Supply,,Beef,United States,2024,,Annual,32324.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Supply,,Beef,United States,2026,Proj.,Annual,31067.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Supply,,Beef,United States,2025,Proj.,Annual,31869.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Use,,Beef,United States,2024,,Annual,28714.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Use,,Beef,United States,2026,Proj.,Annual,27952.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Total Use,,Beef,United States,2025,Proj.,Annual,28607.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Broiler,United States,2024,,Annual,835.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Broiler,United States,2026,Proj.,Annual,765.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Beginning Stocks,,Broiler,United States,2025,Proj.,Annual,761.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Broiler,United States,2024,,Annual,761.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Broiler,United States,2026,Proj.,Annual,780.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Ending Stocks,,Broiler,United States,2025,Proj.,Annual,765.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Broiler,United States,2024,,Annual,6680.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Broiler,United States,2026,Proj.,Annual,6610.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Exports,,Broiler,United States,2025,Proj.,Annual,6481.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Broiler,United States,2024,,Annual,150.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Broiler,United States,2026,Proj.,Annual,140.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Imports,,Broiler,United States,2025,Proj.,Annual,150.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Broiler,United States,2024,,Annual,101.1,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Broiler,United States,2026,Proj.,Annual,102.8,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Meats Supply and Use,Per Capita,,Broiler,United States,2025,Proj.,Annual,102.7,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2024,,III,127.4,Cents/lb.,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2024,,IV,130.0,Cents/lb.,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2025,,I,130.8,Cents/lb.,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2025,,II,135.9,Cents/lb.,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2025,,III,128.0,Cents/lb.,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2025,,IV,130.0,Cents/lb.,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2026,,I,133.0,Cents/lb.,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2026,,II,137.0,Cents/lb.,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2024,,Annual,129.4,Cents/lb.,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2025,Proj.,Annual,131.2,Cents/lb.,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Prices for Animal Products,Prices,,Broiler,United States,2026,Proj.,Annual,135.0,Cents/lb.,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2024,,III,12004.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2024,,IV,11905.0,Million Pounds,2025-08-12,2025,8,August 2024,202408.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2026,,I,11800.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2026,,II,11925.0,Million Pounds,2025-08-12,2025,8,August 2026,202608.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2025,,I,11565.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
663,2025-08-01,U.S. Quarterly Animal Product Production,Production,,Broiler,United States,2025,,II,11873.0,Million Pounds,2025-08-12,2025,8,August 2025,202508.0,0,0
