report_date,attribute,value,week_of_year,year,indexby_year,commodity_row_count_cutout,rankby_attribute
2004-02-26,Select,123.89,94,2004,39,5568,5518
2004-02-26,Choice,132.18,94,2004,39,5568,5509
2004-02-27,Choice,134.85,95,2004,40,5568,5444
2004-02-27,Select,126.88,95,2004,40,5568,5433
2004-03-01,Select,129.34,101,2004,41,5568,5345
2004-03-01,Choice,136.21,101,2004,41,5568,5383
2004-03-02,Select,130.67,102,2004,42,5568,5275
2004-03-02,Choice,137.74,102,2004,42,5568,5323
2004-03-03,Select,131.53,103,2004,43,5568,5208
2004-03-03,Choice,137.93,103,2004,43,5568,5318
2004-03-04,Select,132.68,104,2004,44,5568,5120
2004-03-04,Choice,139.62,104,2004,44,5568,5216
2004-03-05,Select,133.0,105,2004,45,5568,5084
2004-03-05,Choice,140.28,105,2004,45,5568,5167
2004-03-08,Select,133.4,111,2004,46,5568,5054
2004-03-08,Choice,140.87,111,2004,46,5568,5109
2004-03-09,Select,135.03,112,2004,47,5568,4907
2004-03-09,Choice,143.34,112,2004,47,5568,4899
2004-03-10,Select,133.86,113,2004,48,5568,5010
2004-03-10,Choice,143.26,113,2004,48,5568,4911
2004-03-11,Choice,143.05,114,2004,49,5568,4932
2004-03-11,Select,132.7,114,2004,49,5568,5116
2004-03-12,Choice,142.76,115,2004,50,5568,4957
2004-03-12,Select,132.49,115,2004,50,5568,5136
2004-03-15,Choice,143.74,121,2004,51,5568,4870
2004-03-15,Select,133.07,121,2004,51,5568,5080
2004-03-16,Choice,145.3,122,2004,52,5568,4744
2004-03-16,Select,134.08,122,2004,52,5568,4992
2004-03-17,Select,133.65,123,2004,53,5568,5030
2004-03-17,Choice,145.02,123,2004,53,5568,4762
2004-03-18,Choice,143.96,124,2004,54,5568,4856
2004-03-18,Select,132.96,124,2004,54,5568,5088
2004-03-19,Choice,142.12,125,2004,55,5568,5012
2004-03-19,Select,131.43,125,2004,55,5568,5213
2004-03-22,Choice,141.49,131,2004,56,5568,5067
2004-03-22,Select,130.13,131,2004,56,5568,5296
2004-03-23,Choice,142.38,132,2004,57,5568,4987
2004-03-23,Select,130.13,132,2004,57,5568,5296
2004-03-24,Choice,141.26,133,2004,58,5568,5084
2004-03-24,Select,129.14,133,2004,58,5568,5358
2004-03-25,Choice,139.12,134,2004,59,5568,5251
2004-03-25,Select,127.19,134,2004,59,5568,5430
2004-03-26,Select,125.35,135,2004,60,5568,5476
2004-03-26,Choice,137.95,135,2004,60,5568,5316
2004-03-29,Select,125.16,141,2004,61,5568,5483
2004-03-29,Choice,136.85,141,2004,61,5568,5352
2004-03-30,Select,124.81,142,2004,62,5568,5494
2004-03-30,Choice,137.51,142,2004,62,5568,5332
2004-03-31,Choice,138.92,143,2004,63,5568,5271
2004-03-31,Select,124.83,143,2004,63,5568,5492
2004-04-01,Select,124.69,144,2004,64,5568,5500
2004-04-01,Choice,138.57,144,2004,64,5568,5294
2004-04-02,Select,125.27,145,2004,65,5568,5480
2004-04-02,Choice,139.12,145,2004,65,5568,5251
2004-04-05,Select,128.0,151,2004,66,5568,5404
2004-04-05,Choice,142.15,151,2004,66,5568,5007
2004-04-06,Select,132.74,152,2004,67,5568,5110
2004-04-06,Choice,147.95,152,2004,67,5568,4580
2004-04-07,Select,136.19,153,2004,68,5568,4801
2004-04-07,Choice,151.97,153,2004,68,5568,4372
2004-04-08,Select,138.61,154,2004,69,5568,4602
2004-04-08,Choice,154.67,154,2004,69,5568,4236
2004-04-09,Select,140.41,155,2004,70,5568,4481
2004-04-09,Choice,156.51,155,2004,70,5568,4139
2004-04-12,Choice,159.38,161,2004,71,5568,4022
2004-04-12,Select,142.36,161,2004,71,5568,4373
2004-04-13,Choice,162.39,162,2004,72,5568,3929
2004-04-13,Select,144.94,162,2004,72,5568,4269
2004-04-14,Select,145.76,163,2004,73,5568,4239
2004-04-14,Choice,163.49,163,2004,73,5568,3900
2004-04-15,Choice,164.03,164,2004,74,5568,3880
2004-04-15,Select,145.54,164,2004,74,5568,4251
2004-04-16,Choice,162.97,165,2004,75,5568,3914
2004-04-16,Select,144.15,165,2004,75,5568,4302
2004-04-19,Select,143.29,171,2004,76,5568,4342
2004-04-19,Choice,162.16,171,2004,76,5568,3937
2004-04-20,Select,143.26,172,2004,77,5568,4343
2004-04-20,Choice,161.9,172,2004,77,5568,3943
2004-04-21,Select,142.31,173,2004,78,5568,4379
2004-04-21,Choice,161.58,173,2004,78,5568,3950
2004-04-22,Select,141.03,174,2004,79,5568,4439
2004-04-22,Choice,160.27,174,2004,79,5568,3987
2004-04-23,Choice,157.88,175,2004,80,5568,4076
2004-04-23,Select,139.01,175,2004,80,5568,4575
2004-04-26,Choice,158.0,181,2004,81,5568,4069
2004-04-26,Select,138.2,181,2004,81,5568,4630
2004-04-27,Select,138.1,182,2004,82,5568,4640
2004-04-27,Choice,158.13,182,2004,82,5568,4061
2004-04-28,Select,137.26,183,2004,83,5568,4691
2004-04-28,Choice,157.98,183,2004,83,5568,4072
2004-04-29,Select,137.09,184,2004,84,5568,4709
2004-04-29,Choice,157.87,184,2004,84,5568,4078
2004-04-30,Select,137.32,185,2004,85,5568,4688
2004-04-30,Choice,157.88,185,2004,85,5568,4076
2004-05-03,Select,139.02,191,2004,86,5568,4569
2004-05-03,Choice,159.21,191,2004,86,5568,4025
2004-05-04,Choice,161.0,192,2004,87,5568,3963
2004-05-04,Select,140.57,192,2004,87,5568,4467
2004-05-05,Choice,160.84,193,2004,88,5568,3969
2004-05-05,Select,140.41,193,2004,88,5568,4481
2004-05-06,Choice,159.87,194,2004,89,5568,3999
2004-05-06,Select,139.71,194,2004,89,5568,4524
2004-05-07,Choice,159.55,195,2004,90,5568,4015
2004-05-07,Select,139.31,195,2004,90,5568,4551
2004-05-10,Select,139.29,201,2004,91,5568,4553
2004-05-10,Choice,160.2,201,2004,91,5568,3989
2004-05-11,Choice,160.58,202,2004,92,5568,3976
2004-05-11,Select,139.02,202,2004,92,5568,4569
2004-05-12,Select,138.44,203,2004,93,5568,4615
2004-05-12,Choice,159.58,203,2004,93,5568,4011
2004-05-13,Select,137.54,204,2004,94,5568,4676
2004-05-13,Choice,158.93,204,2004,94,5568,4032
2004-05-14,Select,136.74,205,2004,95,5568,4751
2004-05-14,Choice,157.57,205,2004,95,5568,4088
2004-05-17,Select,135.66,211,2004,96,5568,4845
2004-05-17,Choice,155.85,211,2004,96,5568,4163
2004-05-18,Choice,155.97,212,2004,97,5568,4155
2004-05-18,Select,135.71,212,2004,97,5568,4840
2004-05-19,Choice,155.15,213,2004,98,5568,4209
2004-05-19,Select,135.48,213,2004,98,5568,4860
2004-05-20,Select,134.94,214,2004,99,5568,4914
2004-05-20,Choice,153.56,214,2004,99,5568,4306
2004-05-21,Select,134.77,215,2004,100,5568,4931
2004-05-21,Choice,151.53,215,2004,100,5568,4392
2004-05-24,Choice,151.48,221,2004,101,5568,4394
2004-05-24,Select,134.3,221,2004,101,5568,4975
2004-05-25,Choice,151.77,222,2004,102,5568,4384
2004-05-25,Select,133.56,222,2004,102,5568,5041
2004-05-26,Select,132.23,223,2004,103,5568,5163
2004-05-26,Choice,149.42,223,2004,103,5568,4498
2004-05-27,Choice,147.23,224,2004,104,5568,4626
2004-05-27,Select,130.68,224,2004,104,5568,5273
2004-05-28,Choice,146.08,225,2004,105,5568,4691
2004-05-28,Select,130.57,225,2004,105,5568,5281
2004-06-01,Choice,147.93,232,2004,106,5568,4581
2004-06-01,Select,132.24,232,2004,106,5568,5162
2004-06-02,Select,133.9,233,2004,107,5568,5008
2004-06-02,Choice,150.57,233,2004,107,5568,4441
2004-06-03,Select,134.92,234,2004,108,5568,4920
2004-06-03,Choice,150.99,234,2004,108,5568,4415
2004-06-04,Select,135.99,235,2004,109,5568,4816
2004-06-04,Choice,152.82,235,2004,109,5568,4337
2004-06-07,Select,138.2,241,2004,110,5568,4630
2004-06-07,Choice,154.12,241,2004,110,5568,4278
2004-06-08,Choice,155.22,242,2004,111,5568,4202
2004-06-08,Select,140.89,242,2004,111,5568,4446
2004-06-09,Select,141.8,243,2004,112,5568,4407
2004-06-09,Choice,156.64,243,2004,112,5568,4128
2004-06-10,Choice,156.15,244,2004,113,5568,4149
2004-06-10,Select,142.06,244,2004,113,5568,4391
2004-06-11,Choice,152.87,245,2004,114,5568,4335
2004-06-11,Select,142.04,245,2004,114,5568,4393
2004-06-14,Select,141.24,251,2004,115,5568,4428
2004-06-14,Choice,150.0,251,2004,115,5568,4466
2004-06-15,Choice,147.86,252,2004,116,5568,4584
2004-06-15,Select,140.54,252,2004,116,5568,4472
2004-06-16,Select,139.27,253,2004,117,5568,4554
2004-06-16,Choice,146.9,253,2004,117,5568,4648
2004-06-17,Choice,145.42,254,2004,118,5568,4736
2004-06-17,Select,137.71,254,2004,118,5568,4659
2004-06-18,Choice,143.43,255,2004,119,5568,4892
2004-06-18,Select,137.04,255,2004,119,5568,4714
2004-06-21,Choice,144.07,261,2004,120,5568,4842
2004-06-21,Select,137.69,261,2004,120,5568,4663
2004-06-22,Choice,145.96,262,2004,121,5568,4697
2004-06-22,Select,138.8,262,2004,121,5568,4589
2004-06-23,Choice,145.13,263,2004,122,5568,4757
2004-06-23,Select,138.98,263,2004,122,5568,4577
2004-06-24,Choice,144.41,264,2004,123,5568,4816
2004-06-24,Select,138.68,264,2004,123,5568,4597
2004-06-25,Choice,142.99,265,2004,124,5568,4938
2004-06-25,Select,138.38,265,2004,124,5568,4620
2004-06-28,Choice,143.67,271,2004,125,5568,4875
2004-06-28,Select,139.98,271,2004,125,5568,4506
2004-06-29,Choice,144.93,272,2004,126,5568,4770
2004-06-29,Select,140.56,272,2004,126,5568,4469
2004-06-30,Choice,143.45,273,2004,127,5568,4889
2004-06-30,Select,140.36,273,2004,127,5568,4487
2004-07-01,Choice,142.46,274,2004,128,5568,4979
2004-07-01,Select,139.98,274,2004,128,5568,4506
2004-07-02,Select,139.79,275,2004,129,5568,4521
2004-07-02,Choice,140.73,275,2004,129,5568,5122
2004-07-06,Select,139.63,282,2004,130,5568,4528
2004-07-06,Choice,140.84,282,2004,130,5568,5111
2004-07-07,Select,139.15,283,2004,131,5568,4564
2004-07-07,Choice,140.95,283,2004,131,5568,5106
2004-07-08,Select,139.17,284,2004,132,5568,4561
2004-07-08,Choice,140.25,284,2004,132,5568,5171
2004-07-09,Select,138.45,285,2004,133,5568,4614
2004-07-09,Choice,139.67,285,2004,133,5568,5210
2004-07-12,Choice,140.15,291,2004,134,5568,5178
2004-07-12,Select,138.41,291,2004,134,5568,4618
2004-07-13,Select,138.73,292,2004,135,5568,4593
2004-07-13,Choice,140.55,292,2004,135,5568,5145
2004-07-14,Select,138.43,293,2004,136,5568,4616
2004-07-14,Choice,139.63,293,2004,136,5568,5213
2004-07-15,Select,137.03,294,2004,137,5568,4716
2004-07-15,Choice,139.03,294,2004,137,5568,5259
2004-07-16,Select,136.43,295,2004,138,5568,4778
2004-07-16,Choice,138.78,295,2004,138,5568,5277
2004-07-19,Choice,137.02,301,2004,139,5568,5346
2004-07-19,Select,135.04,301,2004,139,5568,4904
2004-07-20,Select,134.74,302,2004,140,5568,4933
2004-07-20,Choice,136.83,302,2004,140,5568,5353
2004-07-21,Choice,136.88,303,2004,141,5568,5348
2004-07-21,Select,134.01,303,2004,141,5568,4999
2004-07-22,Choice,136.23,304,2004,142,5568,5382
2004-07-22,Select,133.72,304,2004,142,5568,5022
2004-07-23,Choice,136.48,305,2004,143,5568,5371
2004-07-23,Select,134.09,305,2004,143,5568,4989
2004-07-26,Choice,139.15,311,2004,144,5568,5249
2004-07-26,Select,136.03,311,2004,144,5568,4809
2004-07-27,Choice,141.49,312,2004,145,5568,5067
2004-07-27,Select,137.15,312,2004,145,5568,4701
2004-07-28,Select,137.62,313,2004,146,5568,4670
2004-07-28,Choice,142.38,313,2004,146,5568,4987
2004-07-29,Choice,142.66,314,2004,147,5568,4967
2004-07-29,Select,137.15,314,2004,147,5568,4701
2004-07-30,Select,135.12,315,2004,148,5568,4899
2004-07-30,Choice,139.91,315,2004,148,5568,5197
2004-08-02,Choice,138.99,321,2004,149,5568,5265
2004-08-02,Select,134.78,321,2004,149,5568,4929
2004-08-03,Select,134.33,322,2004,150,5568,4971
2004-08-03,Choice,139.38,322,2004,150,5568,5233
2004-08-04,Choice,137.32,323,2004,151,5568,5338
2004-08-04,Select,133.18,323,2004,151,5568,5073
2004-08-05,Choice,135.82,324,2004,152,5568,5399
2004-08-05,Select,132.15,324,2004,152,5568,5169
2004-08-06,Choice,135.28,325,2004,153,5568,5430
2004-08-06,Select,130.5,325,2004,153,5568,5286
2004-08-09,Choice,135.47,331,2004,154,5568,5416
2004-08-09,Select,129.98,331,2004,154,5568,5312
2004-08-10,Choice,135.69,332,2004,155,5568,5404
2004-08-10,Select,130.78,332,2004,155,5568,5262
2004-08-11,Select,130.6,333,2004,156,5568,5277
2004-08-11,Choice,135.47,333,2004,156,5568,5416
2004-08-12,Select,129.81,334,2004,157,5568,5320
2004-08-12,Choice,135.52,334,2004,157,5568,5413
2004-08-13,Select,129.56,335,2004,158,5568,5330
2004-08-13,Choice,135.9,335,2004,158,5568,5393
2004-08-16,Select,130.78,341,2004,159,5568,5262
2004-08-16,Choice,136.54,341,2004,159,5568,5367
2004-08-17,Select,132.94,342,2004,160,5568,5094
2004-08-17,Choice,138.39,342,2004,160,5568,5301
2004-08-18,Choice,140.06,343,2004,161,5568,5184
2004-08-18,Select,134.0,343,2004,161,5568,5000
2004-08-19,Choice,140.02,344,2004,162,5568,5187
2004-08-19,Select,133.84,344,2004,162,5568,5011
2004-08-20,Choice,138.96,345,2004,163,5568,5266
2004-08-20,Select,132.87,345,2004,163,5568,5100
2004-08-23,Select,133.24,351,2004,164,5568,5070
2004-08-23,Choice,139.07,351,2004,164,5568,5255
2004-08-24,Choice,140.21,352,2004,165,5568,5173
2004-08-24,Select,133.41,352,2004,165,5568,5053
2004-08-25,Choice,139.75,353,2004,166,5568,5205
2004-08-25,Select,133.52,353,2004,166,5568,5044
2004-08-26,Select,132.62,354,2004,167,5568,5126
2004-08-26,Choice,137.27,354,2004,167,5568,5339
2004-08-27,Select,130.69,355,2004,168,5568,5270
2004-08-27,Choice,135.63,355,2004,168,5568,5406
2004-08-30,Select,129.92,361,2004,169,5568,5314
2004-08-30,Choice,135.38,361,2004,169,5568,5424
2004-08-31,Select,130.12,362,2004,170,5568,5299
2004-08-31,Choice,135.25,362,2004,170,5568,5431
2004-09-01,Select,129.03,363,2004,171,5568,5362
2004-09-01,Choice,133.33,363,2004,171,5568,5494
2004-09-02,Select,127.82,364,2004,172,5568,5408
2004-09-02,Choice,131.96,364,2004,172,5568,5512
2004-09-03,Select,126.31,365,2004,173,5568,5454
2004-09-03,Choice,129.52,365,2004,173,5568,5535
2004-09-07,Choice,130.26,372,2004,174,5568,5526
2004-09-07,Select,126.85,372,2004,174,5568,5435
2004-09-08,Choice,130.2,373,2004,175,5568,5527
2004-09-08,Select,125.83,373,2004,175,5568,5466
2004-09-09,Choice,129.24,374,2004,176,5568,5537
2004-09-09,Select,124.76,374,2004,176,5568,5496
2004-09-10,Select,124.42,375,2004,177,5568,5505
2004-09-10,Choice,128.12,375,2004,177,5568,5545
2004-09-13,Choice,129.44,381,2004,178,5568,5536
2004-09-13,Select,126.19,381,2004,178,5568,5459
2004-09-14,Select,128.29,382,2004,179,5568,5394
2004-09-14,Choice,132.66,382,2004,179,5568,5502
2004-09-15,Select,129.72,383,2004,180,5568,5323
2004-09-15,Choice,133.91,383,2004,180,5568,5479
2004-09-16,Choice,134.0,384,2004,181,5568,5476
2004-09-16,Select,130.01,384,2004,181,5568,5308
2004-09-17,Choice,133.98,385,2004,182,5568,5477
2004-09-17,Select,129.52,385,2004,182,5568,5332
2004-09-20,Choice,134.58,391,2004,183,5568,5459
2004-09-20,Select,130.68,391,2004,183,5568,5273
2004-09-21,Select,132.22,392,2004,184,5568,5164
2004-09-21,Choice,136.6,392,2004,184,5568,5362
2004-09-22,Choice,136.18,393,2004,185,5568,5384
2004-09-22,Select,132.87,393,2004,185,5568,5100
2004-09-23,Select,132.7,394,2004,186,5568,5116
2004-09-23,Choice,136.05,394,2004,186,5568,5388
2004-09-24,Select,132.03,395,2004,187,5568,5181
2004-09-24,Choice,136.07,395,2004,187,5568,5387
2004-09-27,Select,132.13,401,2004,188,5568,5170
2004-09-27,Choice,136.35,401,2004,188,5568,5377
2004-09-28,Choice,136.43,402,2004,189,5568,5373
2004-09-28,Select,131.82,402,2004,189,5568,5194
2004-09-29,Select,131.03,403,2004,190,5568,5252
2004-09-29,Choice,135.11,403,2004,190,5568,5436
2004-09-30,Select,130.3,404,2004,191,5568,5292
2004-09-30,Choice,133.91,404,2004,191,5568,5479
2004-10-01,Select,129.48,405,2004,192,5568,5335
2004-10-01,Choice,132.35,405,2004,192,5568,5506
2004-10-04,Choice,131.38,411,2004,193,5568,5519
2004-10-04,Select,128.75,411,2004,193,5568,5376
2004-10-05,Select,128.32,412,2004,194,5568,5390
2004-10-05,Choice,132.06,412,2004,194,5568,5510
2004-10-06,Choice,130.97,413,2004,195,5568,5521
2004-10-06,Select,126.82,413,2004,195,5568,5436
2004-10-07,Select,126.21,414,2004,196,5568,5458
2004-10-07,Choice,129.69,414,2004,196,5568,5533
2004-10-08,Choice,130.5,415,2004,197,5568,5523
2004-10-08,Select,126.86,415,2004,197,5568,5434
2004-10-11,Select,128.63,421,2004,198,5568,5379
2004-10-11,Choice,132.76,421,2004,198,5568,5500
2004-10-12,Choice,134.42,422,2004,199,5568,5461
2004-10-12,Select,130.55,422,2004,199,5568,5282
2004-10-13,Choice,135.62,423,2004,200,5568,5407
2004-10-13,Select,131.23,423,2004,200,5568,5233
2004-10-14,Choice,135.86,424,2004,201,5568,5396
2004-10-14,Select,131.24,424,2004,201,5568,5231
2004-10-15,Choice,136.75,425,2004,202,5568,5358
2004-10-15,Select,131.26,425,2004,202,5568,5228
2004-10-18,Choice,138.12,431,2004,203,5568,5308
2004-10-18,Select,132.73,431,2004,203,5568,5112
2004-10-19,Choice,140.04,432,2004,204,5568,5186
2004-10-19,Select,135.11,432,2004,204,5568,4901
2004-10-20,Select,135.26,433,2004,205,5568,4882
2004-10-20,Choice,141.23,433,2004,205,5568,5086
2004-10-21,Choice,141.63,434,2004,206,5568,5051
2004-10-21,Select,135.2,434,2004,206,5568,4890
2004-10-22,Choice,140.83,435,2004,207,5568,5112
2004-10-22,Select,134.83,435,2004,207,5568,4925
2004-10-25,Select,134.23,441,2004,208,5568,4978
2004-10-25,Choice,140.23,441,2004,208,5568,5172
2004-10-26,Choice,140.39,442,2004,209,5568,5161
2004-10-26,Select,134.05,442,2004,209,5568,4996
2004-10-27,Select,133.33,443,2004,210,5568,5062
2004-10-27,Choice,140.5,443,2004,210,5568,5151
2004-10-28,Select,131.45,444,2004,211,5568,5211
2004-10-28,Choice,138.76,444,2004,211,5568,5281
2004-10-29,Select,130.05,445,2004,212,5568,5305
2004-10-29,Choice,136.88,445,2004,212,5568,5348
2004-11-01,Select,128.32,451,2004,213,5568,5390
2004-11-01,Choice,134.7,451,2004,213,5568,5452
2004-11-02,Select,126.78,452,2004,214,5568,5437
2004-11-02,Choice,134.71,452,2004,214,5568,5451
2004-11-03,Select,124.82,453,2004,215,5568,5493
2004-11-03,Choice,131.57,453,2004,215,5568,5517
2004-11-04,Select,123.38,454,2004,216,5568,5530
2004-11-04,Choice,129.65,454,2004,216,5568,5534
2004-11-05,Select,122.13,455,2004,217,5568,5541
2004-11-05,Choice,128.59,455,2004,217,5568,5539
2004-11-08,Select,122.76,461,2004,218,5568,5538
2004-11-08,Choice,128.49,461,2004,218,5568,5540
2004-11-09,Select,123.83,462,2004,219,5568,5522
2004-11-09,Choice,130.01,462,2004,219,5568,5530
2004-11-10,Choice,130.19,463,2004,220,5568,5528
2004-11-10,Select,124.36,463,2004,220,5568,5506
2004-11-11,Choice,130.6,464,2004,221,5568,5522
2004-11-11,Select,124.89,464,2004,221,5568,5488
2004-11-12,Choice,131.97,465,2004,222,5568,5511
2004-11-12,Select,126.59,465,2004,222,5568,5444
2004-11-15,Choice,134.08,471,2004,223,5568,5472
2004-11-15,Select,128.88,471,2004,223,5568,5369
2004-11-16,Choice,135.78,472,2004,224,5568,5402
2004-11-16,Select,130.41,472,2004,224,5568,5288
2004-11-17,Select,131.65,473,2004,225,5568,5200
2004-11-17,Choice,136.59,473,2004,225,5568,5363
2004-11-18,Select,131.94,474,2004,226,5568,5188
2004-11-18,Choice,137.01,474,2004,226,5568,5347
2004-11-19,Select,131.16,475,2004,227,5568,5238
2004-11-19,Choice,136.81,475,2004,227,5568,5354
2004-11-22,Choice,136.4,481,2004,228,5568,5375
2004-11-22,Select,131.33,481,2004,228,5568,5220
2004-11-23,Select,131.15,482,2004,229,5568,5239
2004-11-23,Choice,136.34,482,2004,229,5568,5378
2004-11-24,Select,131.88,483,2004,230,5568,5192
2004-11-24,Choice,136.65,483,2004,230,5568,5360
2004-11-26,Choice,137.7,485,2004,231,5568,5325
2004-11-26,Select,133.43,485,2004,231,5568,5050
2004-11-29,Choice,140.82,491,2004,232,5568,5114
2004-11-29,Select,136.02,491,2004,232,5568,4810
2004-11-30,Choice,144.17,492,2004,233,5568,4831
2004-11-30,Select,139.85,492,2004,233,5568,4515
2004-12-01,Select,140.96,493,2004,234,5568,4444
2004-12-01,Choice,147.17,493,2004,234,5568,4631
2004-12-02,Choice,148.16,494,2004,235,5568,4568
2004-12-02,Select,141.16,494,2004,235,5568,4435
2004-12-03,Select,140.53,495,2004,236,5568,4476
2004-12-03,Choice,146.59,495,2004,236,5568,4661
2004-12-06,Select,139.56,501,2004,237,5568,4531
2004-12-06,Choice,146.35,501,2004,237,5568,4674
2004-12-07,Choice,146.76,502,2004,238,5568,4654
2004-12-07,Select,139.02,502,2004,238,5568,4569
2004-12-08,Select,137.82,503,2004,239,5568,4654
2004-12-08,Choice,145.0,503,2004,239,5568,4764
2004-12-09,Select,136.34,504,2004,240,5568,4785
2004-12-09,Choice,143.15,504,2004,240,5568,4923
2004-12-10,Select,135.05,505,2004,241,5568,4903
2004-12-10,Choice,141.21,505,2004,241,5568,5090
2004-12-13,Choice,139.9,511,2004,242,5568,5198
2004-12-13,Select,133.58,511,2004,242,5568,5037
2004-12-14,Choice,139.0,512,2004,243,5568,5263
2004-12-14,Select,132.34,512,2004,243,5568,5152
2004-12-15,Choice,136.51,513,2004,244,5568,5369
2004-12-15,Select,130.49,513,2004,244,5568,5287
2004-12-16,Choice,135.69,514,2004,245,5568,5404
2004-12-16,Select,129.39,514,2004,245,5568,5340
2004-12-17,Choice,136.55,515,2004,246,5568,5365
2004-12-17,Select,128.83,515,2004,246,5568,5371
2004-12-20,Choice,136.69,521,2004,247,5568,5359
2004-12-20,Select,129.73,521,2004,247,5568,5322
2004-12-21,Select,131.58,522,2004,248,5568,5206
2004-12-21,Choice,139.08,522,2004,248,5568,5254
2004-12-22,Select,132.0,523,2004,249,5568,5183
2004-12-22,Choice,139.0,523,2004,249,5568,5263
2004-12-27,Choice,141.76,531,2004,250,5568,5041
2004-12-27,Select,135.32,531,2004,250,5568,4876
2004-12-28,Choice,142.45,532,2004,251,5568,4981
2004-12-28,Select,136.69,532,2004,251,5568,4755
2004-12-29,Choice,141.21,533,2004,252,5568,5090
2004-12-29,Select,135.92,533,2004,252,5568,4820
2004-12-30,Choice,140.38,534,2004,253,5568,5162
